Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,standingtackle,slidingtackle,understat_xg,strength,agility,volleys,headingaccuracy,longshots,understat_matches,understat_assists,crossing,understat_shots,ballcontrol,acceleration,vision,Valor de mercado actual (numérico),Cluster,Valor_Predicho
Faris Pemi Moumbagna,12.0,75,2,62,,30/06/2028,20/01/2024,-0.1388498879850171,-0.4666130547179576,-0.2725174643195482,-0.3759145109749066,-0.4716139691807754,-0.5621881660154082,-0.246490430583512,-0.2624979845675464,1.1484496635161938,-1.3427238640645731,-1.3960422544344462,-0.0149910166223095,1.6217532130973258,0.1243749800086525,1.1629426784295087,0.7428981796723999,0.5190787790387877,-0.9645245093602022,-0.2744561497713605,-0.2473925137143171,-0.1813990566894601,0.1622815726984937,0.9679874445445906,-0.5122654655985515,8000000.0,1,6699977.5
edon-zhegrova,1.0,240,2,50,6.0,30/06/2026,14/01/2022,-0.5260479963943305,-0.514870058446373,-0.32257332693702,-0.5805420935203993,-0.2751190650723473,-0.5149655689685982,0.965190056835432,0.5400845202251955,-0.6393379380902917,-1.5126286907164657,-1.524333998940144,1.2507780349107445,-0.5289762008091169,1.6050295039211837,0.6703262131178945,-1.116357275405982,0.9800832839164528,0.9807457386111784,2.0349179723379334,1.031409844845005,2.886210361263291,0.8250761607754767,1.4925471146373963,1.0569422023013637,25000000.0,3,28716814.0
Malick Martin Fofana,11.0,70,2,61,,30/06/2028,10/01/2024,-0.0614102663031544,-0.3218420435327115,-0.5728526400243794,-0.222443824065787,-0.3242427910994543,-0.4205203748749785,0.2728012068817497,1.342667025017937,-2.050749202516464,-0.5781521441310585,-0.5407639577297945,-0.0129660334103235,-2.67970561471556,1.5377270255615232,0.3747563339309261,-1.3173578651441855,0.3346769770877216,-0.575470459765926,-0.7363309741932195,0.5887474899590859,-0.506751570714752,0.6041446314164824,1.2958372383525942,0.3436659896195839,25000000.0,1,21987890.0
alexandre-lacazette,32.0,155,2,61,7.0,30/06/2025,01/07/2022,,-0.3218420435327115,-0.5728526400243794,-0.4270714066112797,-0.6189851472620966,-0.5621881660154082,0.965190056835432,0.33943889402701,0.9602614949260374,-0.4931997308051125,-0.9256391912468878,3.50084673832555,0.675432270978491,0.9320047203245786,1.5077742041476383,0.8936486219760524,1.1183846353797524,0.5916916890169024,0.1874186746504982,0.6379321960575214,1.9566317497624568,0.8250761607754767,0.0500080218821804,1.1282698235695414,8000000.0,1,11317226.0
გიორგი მიქაუტაძე,32.0,179,2,61,,30/06/2028,18/07/2024,-0.0614102663031544,-0.2735850398042961,-0.4226850521719638,-0.4270714066112797,-0.6189851472620966,-0.5149655689685982,0.4458984193701703,0.9413757726215664,0.3956969891555683,-0.7055807641199777,-0.583527872565027,2.1331620785467447,-0.0128011414715706,1.268517112122881,1.5570358506788,0.1901465578923404,1.0261837344042193,-0.2836799225702189,1.111168323494216,0.7363016082543923,1.724237096887249,0.659377513756231,0.90241748578299,0.5576488534241177,20000000.0,1,19719860.0
Ernest Nuamah Appiah,37.0,180,2,61,6.0,30/06/2028,07/07/2024,0.7129859505154722,-0.3218420435327115,-0.4727409147894356,-0.3247576153385333,-0.4224902431536684,-0.2316299866877389,0.0997039943933291,0.9413757726215664,-0.827526106680448,-1.5126286907164657,-1.310514424763981,0.6260334535250722,-0.6150053773653745,0.7973997636052575,0.4732796269932489,-1.0661071279714311,0.7956814819653868,0.5916916890169024,0.1874186746504982,0.6871169021559568,1.0735320688366654,0.6041446314164824,1.1646973208293927,0.3436659896195839,15000000.0,1,14234846.0
maghnes-akliouche,32.0,142,2,7,,30/06/2028,01/07/2022,-0.6034876180761931,-0.4666130547179576,-0.3726291895544919,-0.4270714066112797,-0.6189851472620966,-0.4677429719217884,0.6189956318585909,1.5433126512161228,-1.0157142752706043,-0.1958662841643011,-0.4124722132240967,0.9137722799181128,-0.9591220835904054,1.2012146337632206,0.5225412735244104,-0.6138558010604733,0.7034805809898538,0.4944281766183333,1.111168323494216,0.8346710204512632,0.701700624236332,0.8803090431152254,0.5089977332133855,1.1995974448377194,40000000.0,3,38516244.0
南野 拓実,54.0,237,2,7,14.0,30/06/2027,01/07/2022,0.2483482204242962,-0.4183560509895422,-0.2725174643195482,-0.4782283022476529,-0.1277478869910261,-0.184407389640929,0.6189956318585909,-0.0618523583693609,-0.3570556852050571,-0.7480569707829507,-0.8828752764116552,1.37388177912691,-0.9591220835904054,1.5377270255615232,1.1629426784295087,-0.2621047690186173,0.8878823829409198,0.6889552014154714,2.0349179723379334,0.7854863143528278,1.910152819187416,0.7146103960959796,1.099127362067792,1.1282698235695414,15000000.0,1,12857883.0
Breel Donald Embolo,12.0,339,2,7,6.0,30/06/2026,15/07/2022,0.4806670854698842,-0.2253280360758808,-0.5728526400243794,-0.5293851978840262,-0.5207376952078825,-0.2788525837345488,0.4458984193701703,-0.2624979845675464,1.5248260006965064,0.2713719891284023,-0.6690557022354923,-0.4453693416003668,1.3636656834285523,0.057072501648992,1.2614659714918317,0.8936486219760524,0.7495810314776202,-1.7426326085487545,-0.7363309741932195,0.293639253368473,-0.6461883624398771,0.5489117490767338,0.377857815690184,0.7716317172286516,12000000.0,1,10190357.0
krepin-diatta,81.0,312,2,7,,30/06/2026,21/01/2021,,-0.3700990472611269,-0.4727409147894356,-0.3247576153385333,-0.3242427910994543,-0.2788525837345488,0.0997039943933291,-0.4631436107657319,0.4897910734506465,-0.0259614575124089,0.0151669351282291,-0.4502056622125652,-0.7010345539216323,1.5377270255615232,0.9658960923048632,0.1901465578923404,0.8417819324531532,0.2999011518211952,0.1874186746504982,0.5395627838606504,-0.506751570714752,0.4384459843972366,1.4925471146373963,0.4149936108877619,10000000.0,1,8324888.5
