Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,acceleration,understat_minutes,headingaccuracy,longshots,strength,understat_matches,understat_xa,crossing,understat_yellow_cards,understat_xg,penalties,ballcontrol,standingtackle,balance,volleys,Valor de mercado actual (numérico)
danilo-d-ambrosio,53.0,224,1,4,6.0,30/06/2025,02/08/2023,-0.6189755424125657,-0.4183560509895422,-0.3726291895544919,-0.1201300327930406,-0.2259953390452402,-0.1371847925941191,-0.246490430583512,-1.0650804893602883,0.3956969891555683,-0.8679714007802297,-0.0139755291589397,0.7428981796723999,0.1963756256244221,0.5894030944222333,0.1053741270240572,-0.7113969916934177,0.7854863143528278,-0.0592637296599633,-0.47050809631651,0.5175144494518188,-0.0586499566605006,0.7810864690840789,0.4032257638632638,0.4240179804620875,800000.0
luca-caldirola,53.0,224,1,4,,30/06/2025,17/07/2021,,-0.4183560509895422,-0.3726291895544919,-0.3759145109749066,-0.5698614212349895,-0.2788525837345488,-0.4195876430719326,-1.2657261155584738,-0.2629616009099789,-2.441650411058647,0.65147663438511,0.7931483271069507,-0.356829780228776,0.675432270978491,0.5916916890169024,-0.587392241949225,0.2444545472700375,0.6775416603165617,-0.4754131162173988,-0.5361208686997694,-0.3348143683592436,0.8235626757470519,-0.7128580519704912,0.0791864547439576,800000.0
andrea-carboni,53.0,224,1,4,7.0,30/06/2027,01/07/2022,-0.3711687530306051,-0.4666130547179576,-0.2224616017020763,-0.2736007197021602,-0.2751190650723473,-0.4205203748749785,-0.5926848555603532,-0.2624979845675464,-0.4511497695001353,-0.6712615244954275,-0.0529288265371279,0.340897000195993,-0.9561356365697408,-0.0128011414715706,-0.1864164101716499,-0.5628816413658616,0.1460851350731666,-0.7960691196364885,-0.2579868346284897,-0.5361208686997694,0.1070486903587451,0.866038882410025,-0.6472060628037998,-0.6597382432234635,3400000.0
arvid-brorsson,85.0,327,1,4,,30/06/2027,29/01/2025,-0.6344634667489382,-0.6113840659032037,-0.2725174643195482,-0.4782283022476529,-0.2751190650723473,-0.184407389640929,-1.6312681304908767,-1.6670173679548448,-0.0747734323198225,-0.9335413595418304,,0.1901465578923404,-0.0341266268144104,0.933519800647264,,,-0.5916854564033655,,,-1.2970797095870277,-0.1691157213399978,0.2288957824654293,-0.7128580519704912,-0.1671217779118494,600000.0
Стефан Лековић,82.0,317,1,4,,30/06/2025,17/01/2025,-0.541535920730703,-0.4666130547179576,-0.4226850521719638,-0.1712869284294138,-0.6189851472620966,-0.5621881660154082,-1.458170918002456,0.1387932678288245,0.0193206519752555,-0.6712615244954275,-1.639193658660017,0.7931483271069507,0.011973823673356,-0.3569178476966014,-2.1316866581430305,-0.8221134815946767,-1.378640753978333,-1.164471814624751,-0.6870230799051025,0.2248379721874887,-0.3900472506989922,0.3988006091173214,-0.5815540736371082,-0.4134300105676565,1800000.0
jackson-tchatchoua,11.0,76,1,45,,30/06/2027,01/07/2024,-0.4486083747124678,-0.4666130547179576,-0.2224616017020763,-0.3759145109749066,-0.2751190650723473,-0.5621881660154082,-0.0733932180950914,0.5400845202251955,1.0543555792211157,1.099127362067792,0.1894472460382657,0.340897000195993,0.2424760761121886,0.7614614475347486,0.2999011518211952,-0.1153848754148102,0.8838557265496987,-0.4276664246482259,-0.6870230799051025,0.2248379721874887,0.3279802197177395,0.5687054357692136,0.6001817313633383,0.128448101275119,8000000.0
daniele-ghilardi,53.0,224,1,45,,-,16/07/2022,-0.5570238450670756,-0.3218420435327115,-0.5728526400243794,-0.222443824065787,-0.5207376952078825,-0.2316299866877389,-0.4195876430719326,0.33943889402701,0.3956969891555683,-0.7368314832570283,,0.8433984745415016,-1.1405374385208067,0.5033739178659755,,,-1.181901929584591,,,-0.5361208686997694,-0.555745897718238,0.7810864690840789,-0.6472060628037998,-1.004569768941593,4000000.0
diego-coppola,53.0,233,1,45,,30/06/2027,01/01/2022,,-0.3700990472611269,-0.4727409147894356,-0.5293851978840262,-0.1768716130181332,-0.6094107630622181,-0.4195876430719326,0.1387932678288245,0.3016029048604901,-0.7368314832570283,0.1093765792053231,0.7428981796723999,-1.0483365375452738,0.4173447413097179,0.1053741270240572,-0.7267619914338244,-0.8376089868955428,2.151152440269612,-0.1882722812178798,-0.4190502777940373,-0.7766774270772323,0.7810864690840789,-1.631985900304172,-0.955308122410432,7500000.0
nicolas-valentini,5.0,46,1,45,,30/06/2025,03/02/2025,-0.3324489421896738,-0.2253280360758808,-0.6229085026418513,-0.1201300327930406,-0.3733665171265614,-0.3260751807813587,-0.0733932180950914,0.33943889402701,1.33663783210635,0.3122878569285833,,0.5418975899341965,-1.0483365375452738,0.5894030944222333,,,-0.4933160442064945,,,-0.7702620505112334,-0.1691157213399978,0.7810864690840789,-0.7128580519704912,-0.8075231828169478,4500000.0
domagoj-bradaric,21.0,93,1,45,,30/06/2025,30/08/2024,-0.3711687530306051,-0.3218420435327115,-0.3726291895544919,-0.222443824065787,-0.2259953390452402,-0.5621881660154082,-0.7657820680487738,-1.0650804893602883,-0.1688675166149007,0.5745676919749862,1.3212569420822915,0.1901465578923404,0.3346769770877216,-0.9591220835904054,1.0780092510097476,-0.0169674963177746,0.6379321960575214,0.6775416603165617,-0.5144256904181884,-0.4775855732469033,0.1622815726984937,0.4412768157802945,0.4688777530299553,0.2269713943374418,4000000.0
