Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
ismaily,8.0,60,1,7.0,5.0,50,7.0,30/06/2025,1500000.0,04/08/2022,-0.4098885638715365,2.0,0.6889552014154714,1.0182868513630496,-0.3295387788876583,-0.5234731698320116,-0.2744561497713605,-0.1075396105062462,-0.5997094318648354,-0.3075490055191913,-0.7960691196364885,-0.3596700104893391,0.4458984193701703,-0.2624979845675464,0.9330404326481342,0.3499024065069127,0.2906468527614421,0.6007615860252836,0.3254946873997646,0.5457829243251173,0.4358419545517606,0.1262510106407823,0.2880435774590168,0.5489117490767338,0.4434277744517848,0.015634256890807,0.2589799367279735,0.6679278784581544,1.1910496338635614,0.7275254342628207,0.3956969891555683,0.6190972734341147,0.5033739178659755,0.5190787790387877,-0.061718945776359,0.8370985508050394,-0.3242427910994543,0.5576488534241177,-0.0093032096239753,0.9454586454222702,0.8844854634157829,0.7810864690840789,0.8704452318328809,-0.4666130547179576,-0.4727409147894356,-0.1712869284294138,-0.3242427910994543,-0.3732977778281686
عيسى ماندي,32.0,43,1,0.0,6.0,50,NULL,30/06/2026,1500000.0,01/08/2024,-0.541535920730703,1.0,-0.672733972164495,-0.4630204850463879,-0.3295387788876583,-0.4584194267981419,-0.7363309741932195,-0.6166371915166513,-0.7391462235899604,-0.7979530211252412,-0.0592637296599633,-0.3596700104893391,0.0997039943933291,-0.6637892369639175,0.5887474899590859,-0.5173676993727763,0.9941489168451542,0.5334357851886684,0.0299248082127962,0.011197142200145,0.5345738217481544,0.0739601679300541,0.8181200910015578,0.2175144550382423,-0.4745516482106253,-0.8485040916656843,0.057072501648992,0.4069097933999971,-0.0563381603035764,-1.0807008554371471,0.8661674106309593,-0.4443714477726323,0.5894030944222333,-0.2185284287654765,0.7186867992281812,0.8370985508050394,-0.3733665171265614,0.3436659896195839,-0.9458679368698316,0.5175718580298598,0.8844854634157829,0.866038882410025,0.8276813169976484,-0.1288140286190501,-0.0722940138496607,-0.4270714066112797,-0.3733665171265614,-0.184407389640929
Tiago Carvalho Santos,72.0,292,1,6.0,2.0,50,NULL,30/06/2029,15000000.0,05/07/2023,-0.4098885638715365,1.0,0.5916916890169024,0.8916886348839377,-0.3295387788876583,-0.3200804574211565,0.1874186746504982,0.4438646586630483,0.6087427630862485,0.7345595276436647,1.0459443553048242,-0.3596700104893391,0.4458984193701703,1.1420213988197518,0.9330404326481342,-0.1978471340486803,-0.6138558010604733,0.3987841835154382,0.1777097478062804,0.6915790467228371,0.4358419545517606,0.1262510106407823,0.619341398423105,0.4936788667369852,1.1646973208293927,0.94624478610549,0.7973997636052575,0.2764007508709185,0.3375737746965723,0.2558142282541334,-0.4511497695001353,0.3063123554321303,-0.78706373047789,0.2424760761121886,0.3284839267259111,0.7936517318170682,-0.5207376952078825,0.2723383683514059,0.1077673812817567,0.1752624281159314,0.751999890180255,0.8235626757470519,0.9987369763385788,-0.3700990472611269,-0.5227967774069076,-0.1201300327930406,-0.5207376952078825,-0.2316299866877389
Samuel Yves Umtiti,12.0,145,1,0.0,NULL,50,7.0,30/06/2025,2000000.0,22/07/2023,-0.5260479963943305,2.0,-1.6453690961501857,-1.464985856496453,-0.6143784839080351,-0.6870230799051025,-0.7363309741932195,-0.8221134815946767,-0.9250619458901272,-0.9205540250267538,-1.164471814624751,-0.3596700104893391,-0.0733932180950914,-0.8644348631621029,0.1460851350731666,-0.4260761092801774,0.7428981796723999,0.3314583826788231,0.2269713943374418,-0.2803951025952944,0.4852078881499576,0.5445777523266085,0.420562705844652,-0.1138828390002492,-1.261391153349834,-0.715559730349301,-1.019767152105576,-0.2456354192453958,-0.1219901494702679,0.8061439685976018,0.3956969891555683,-1.0073843001762044,1.1055781537597795,-0.0341266268144104,0.495713729226884,0.7936517318170682,-0.2751190650723473,-0.4409378443303735,0.2248379721874887,0.0041077131589672,0.9286473211609588,0.8235626757470519,0.7849174021624157,-0.1288140286190501,-0.3726291895544919,-0.1712869284294138,-0.2751190650723473,-0.1371847925941191
Ainsley Cory Maitland-Niles,46.0,209,1,6.0,4.0,61,6.0,30/06/2027,10000000.0,07/08/2023,-0.0614102663031544,1.0,0.0081106146254881,-0.1059485924129953,-0.3295387788876583,0.2547131322577545,1.111168323494216,0.0938273677879356,-0.0884411955393768,0.1828550100868585,-0.7960691196364885,2.273875306699427,0.4458984193701703,-0.0618523583693609,0.7363016082543923,0.6237771767847092,-0.1616044741495156,0.5334357851886684,0.6210645665867331,0.5457829243251173,0.5839397553463513,0.1262510106407823,0.7518605268087402,0.6041446314164824,0.4434277744517848,0.8133004247891068,0.460887371806955,0.5374188359290758,0.2719217855298809,-0.2158969777545538,0.0193206519752555,0.6190972734341147,0.3313155647534601,0.4268778780632546,0.495713729226884,0.750204912829097,-0.3733665171265614,0.8429593384968296,1.805290949414871,1.0310360029007524,0.7078380324350791,0.8235626757470519,0.9987369763385788,-0.1288140286190501,-0.4226850521719638,-0.5293851978840262,-0.3733665171265614,-0.2316299866877389
Clinton Mukoni Mata Pedro Lourenço,11.0,39,1,6.0,4.0,61,NULL,30/06/2026,4000000.0,06/07/2023,-0.3324489421896738,1.0,0.4944281766183333,0.7412856255625997,-0.6143784839080351,-0.5052045684932693,0.6492934990723571,0.3171430656193443,-0.2743569178395435,-0.0623469977161664,1.0459443553048242,-0.3596700104893391,0.4458984193701703,-0.2624979845675464,0.3920086655653439,0.0303818411828167,0.7931483271069507,0.264132581842208,-0.117860131380688,0.4971842168592107,0.7320375561409419,1.1720678648553478,0.5530818342302873,0.3279802197177395,0.4434277744517848,1.0127169667636815,0.5954923285262761,0.798436920987233,0.2719217855298809,0.8061439685976018,1.0543555792211157,1.056996158636893,0.5894030944222333,0.6112796800143208,0.7186867992281812,0.9674390077689532,-0.3733665171265614,-0.1556273592576617,-0.1263738005297073,0.7743039304653061,1.016971036651311,0.866038882410025,0.955973061503346,-0.3700990472611269,-0.3726291895544919,-0.5293851978840262,-0.3733665171265614,-0.3732977778281686
moussa-niakhate,32.0,314,1,0.0,7.0,61,NULL,30/06/2028,15000000.0,04/07/2024,0.5581067071517468,2.0,-0.1864164101716499,-0.0994563761832973,-0.3295387788876583,-0.3457131038495722,-0.7363309741932195,-0.7752737321888132,-0.6926672930149187,-0.736652519174485,-0.0592637296599633,2.273875306699427,0.4458984193701703,-0.2624979845675464,0.293639253368473,-0.699950879557974,0.8433984745415016,0.3314583826788231,-0.4626916570988179,0.0597958496660516,-0.7489404518049645,-0.6058207873094135,0.1555244490733816,-0.1691157213399978,-0.5401216069722261,0.7468282441309152,-1.0870696304652363,0.6679278784581544,-0.9098140194705656,-1.3165564584414906,0.1134147362703337,0.4939833062333209,1.1916073303160373,-0.7256333841309082,0.9416598692294784,0.8805453697930107,-0.4716139691807754,-0.2982826017940176,1.337008585791943,0.6031492155083419,0.9286473211609588,0.9509912957359712,0.9987369763385788,-0.4183560509895422,-0.1724057390846044,-0.5805420935203993,-0.4716139691807754,-0.5149655689685982
Nicolás Alejandro Tagliafico,5.0,46,1,7.0,0.0,61,6.0,30/06/2025,7000000.0,23/07/2022,0.1709085987424335,2.0,0.2026376394226262,0.650394598346827,0.240140631153095,0.2677317639419084,-0.2744561497713605,-0.3925542246573345,-0.2278779872645018,0.1828550100868585,0.6775416603165617,2.273875306699427,0.6189956318585909,-0.0618523583693609,0.8346710204512632,0.2129650213680144,0.9438987694106034,0.3987841835154382,0.128448101275119,0.4485855093933042,0.4852078881499576,-0.3966574164665004,0.619341398423105,0.5489117490767338,0.6401376507365869,-0.1173101044255762,0.7973997636052575,0.9289459635163116,1.1910496338635614,-0.0586599090849913,1.242543747811272,0.6816542570345117,0.2452863881972024,-0.356829780228776,0.9974031367298029,0.923992188780982,-0.1277478869910261,0.3436659896195839,-0.3019796868883053,0.7743039304653061,0.8844854634157829,0.9509912957359712,0.955973061503346,-0.2253280360758808,-0.4226850521719638,-0.3759145109749066,-0.1277478869910261,-0.0899621955473092
Duje Ćaleta-Car,21.0,93,1,0.0,NULL,61,NULL,30/06/2027,8000000.0,08/07/2024,-0.1388498879850171,1.0,0.1053741270240572,0.4848430844895268,-0.6143784839080351,-0.5028968722992562,-0.7363309741932195,-0.2379475735856163,-0.5997094318648354,-0.49145051137146,-0.4276664246482259,2.273875306699427,0.0997039943933291,-0.6637892369639175,-1.4278254600767684,-0.9281798547894712,0.8433984745415016,0.1968067810055929,-0.8075231828169478,-0.2317963951293878,-1.3906975885815238,-0.8672750008630549,0.4868222700374697,-0.1691157213399978,-0.8679714007802297,0.0821064375489987,-1.8946993707811624,0.1458917083418399,-1.3693779436374058,0.098577159584571,0.6779792420408028,-0.1315865297706479,1.2776365068722948,-1.2327383394963398,0.8301733342288298,0.750204912829097,-0.3733665171265614,-0.2269549805258396,-0.7702620505112334,0.3464171430728956,0.840323605670607,0.7810864690840789,0.8704452318328809,-0.4666130547179576,-0.4226850521719638,-0.4270714066112797,-0.3733665171265614,-0.4677429719217884
warmed-omari,61.0,85,1,0.0,NULL,61,7.0,30/06/2025,4000000.0,30/08/2024,-0.3711687530306051,1.0,0.2026376394226262,0.5833083639732806,-0.3295387788876583,-0.4973339573219725,-0.7363309741932195,-0.6859384952656264,-0.7856251541650021,-0.6140515152729725,0.6775416603165617,2.273875306699427,-0.246490430583512,-0.2624979845675464,-0.6408701625018008,-1.2477004201135669,0.7931483271069507,0.3314583826788231,-0.8567848293481092,-0.2317963951293878,-0.6008426510103738,-0.8149841581523265,0.0892648848805639,0.0518158080189965,-0.4089816894490246,0.015634256890807,-0.6832547603072735,-0.1151263767163172,-0.7785100411371827,-1.0807008554371471,0.6779792420408028,-0.2567004969714416,0.675432270978491,-0.9561356365697408,0.495713729226884,0.7067580938411258,-0.3733665171265614,-0.8689035719394411,-0.5946561641526354,0.0041077131589672,0.751999890180255,0.7810864690840789,0.8276813169976484,-0.4183560509895422,-0.5227967774069076,-0.222443824065787,-0.3733665171265614,-0.184407389640929
Saël Kumbedi Nseke,32.0,168,1,6.0,4.0,61,NULL,30/06/2027,6000000.0,31/08/2022,-0.6654393154216833,1.0,-0.575470459765926,-0.6815917647795554,-0.6143784839080351,-0.6062272609064029,-0.2744561497713605,-0.51448823709211,-0.6461883624398771,-0.6140515152729725,0.3091389653282991,-0.3596700104893391,-0.4195876430719326,0.33943889402701,0.5395627838606504,-0.6086592894653751,-0.2118546215840664,0.1294809801689778,-0.5612149501611408,0.351388094461491,0.0902804193643825,-0.71040247273087,-0.3745520644691594,0.2175144550382423,0.90241748578299,0.8797726054472984,0.9993071986842392,-0.3761444617744744,1.12539764469687,-1.2379379241067094,-0.4511497695001353,0.1811983882313365,-1.1311804367029208,-0.5873320326676086,0.4399704617265597,0.5329708178892408,-0.5698614212349895,-0.2982826017940176,-0.8287973459640995,0.0041077131589672,0.4870287437091993,0.5262292291062406,0.6993895724919506,-0.4183560509895422,-0.5728526400243794,-0.6316989891567725,-0.5698614212349895,-0.3260751807813587
vanderson,8.0,60,1,6.0,4.0,7,NULL,30/06/2028,20000000.0,01/01/2022,-0.0226904554622231,1.0,-0.2836799225702189,0.1504939486600774,0.240140631153095,0.0864909453971374,-0.2744561497713605,0.2314888514092096,0.4693059713611234,0.2441555120376148,0.3091389653282991,2.273875306699427,0.4458984193701703,1.1420213988197518,0.9822251387465696,0.486839791645811,0.4916474424996455,0.5334357851886684,0.6210645665867331,0.6915790467228371,0.6333056889445482,1.2766495502768045,0.2880435774590168,0.4936788667369852,0.7712775682597884,0.6803560634727235,0.6627948068859366,0.4069097933999971,0.8627896880301041,-0.294515512089335,0.3956969891555683,0.6190972734341147,-0.184859494584086,0.2424760761121886,0.4399704617265597,0.7067580938411258,-0.5698614212349895,0.7716317172286516,-0.1263738005297073,0.5175718580298598,0.7078380324350791,0.7386102624211058,0.8704452318328809,-0.4666130547179576,-0.4727409147894356,-0.5805420935203993,-0.5698614212349895,-0.5149655689685982
Jan Thilo Kehrer,1.0,12,1,0.0,6.0,7,6.0,30/06/2028,15000000.0,01/07/2024,0.0160293553787081,0.0,-0.7699974845630642,-0.2293007007772582,-0.3295387788876583,-0.4136576602465557,-0.2744561497713605,-0.3853827486978746,-0.3673147789896269,-0.6140515152729725,-0.4276664246482259,2.273875306699427,0.7920928443470114,0.5400845202251955,0.3428239594669085,-0.699950879557974,0.8936486219760524,0.3987841835154382,-0.8075231828169478,0.011197142200145,-0.107183315028405,-0.4489482591772286,0.3543031416518344,-0.0586499566605006,-0.2122718131642224,0.5474117021563403,-0.2794398901493105,0.9289459635163116,-0.1219901494702679,-0.0586599090849913,0.8661674106309593,0.2437553718317334,0.8474906240910064,-0.6334324831553751,0.8301733342288298,1.0108858267569245,-0.3733665171265614,-0.2269549805258396,-0.5946561641526354,0.4319945005513777,1.1052947521416627,1.0359437090619172,1.169792635679509,-0.4183560509895422,-0.4226850521719638,-0.1712869284294138,-0.3733665171265614,-0.2788525837345488
caio-henrique,8.0,62,1,7.0,5.0,7,NULL,30/06/2027,15000000.0,27/08/2020,NULL,2.0,-1.3535785589544784,-0.9845618554987976,-0.6143784839080351,-0.6259355491400433,1.5730431479160747,0.2087408043166442,-0.6461883624398771,-0.1236474996669226,-1.164471814624751,-0.3596700104893391,0.4458984193701703,-0.0618523583693609,1.2773333753371825,0.0760276362291162,0.1901465578923404,0.6007615860252836,0.1777097478062804,0.6429803392569305,1.176330958524714,1.2766495502768045,0.4868222700374697,0.7698432784357282,0.5745676919749862,0.8133004247891068,0.326282415087634,0.2764007508709185,0.6001817313633383,-0.1372784434197725,-0.1688675166149007,0.6190972734341147,-0.9591220835904054,0.2885765265999551,0.3284839267259111,0.750204912829097,-0.5698614212349895,0.9856145810331854,-0.1849090959825733,1.0310360029007524,0.751999890180255,0.7810864690840789,0.8276813169976484,-0.3218420435327115,-0.1223498764671326,-0.4270714066112797,-0.5698614212349895,-0.4677429719217884
Mohammed Salisu Abdul Karim,37.0,180,1,0.0,NULL,7,6.0,30/06/2028,15000000.0,01/08/2023,0.7129859505154722,2.0,-1.0617880217587712,-0.5495833681090285,-0.6143784839080351,-0.6315783566740358,-0.2744561497713605,-0.6002528091466475,-0.7391462235899604,-0.736652519174485,-0.4276664246482259,-0.3596700104893391,0.2728012068817497,0.5400845202251955,-0.8376089868955428,-1.01947144488207,0.692648032237849,0.1968067810055929,-1.300139648128562,-0.8149808847202668,-0.3046470494211925,-0.8149841581523265,-0.3082925002763418,-0.279581486019495,-0.6712615244954275,-0.0508379237673845,-1.288977065544218,0.2764007508709185,-1.0411179978039486,-0.4517525807588974,0.772073326335881,-0.0064725625698541,1.535724036541068,-1.1866378890085734,0.8859166017291541,1.0108858267569245,-0.3733665171265614,-2.7947493461802457,-0.6531914596055014,0.0041077131589672,0.9728091789061348,0.866038882410025,0.8704452318328809,-0.514870058446373,-0.5227967774069076,-0.3247576153385333,-0.3733665171265614,-0.5621881660154082
Christian Mawissa Elebi,32.0,168,1,0.0,6.0,7,NULL,30/06/2029,12000000.0,11/08/2024,0.0160293553787081,2.0,-0.575470459765926,-0.4576103048549728,-0.0446990738672816,-0.471171253716514,-0.7363309741932195,-0.6562958174052581,-0.6926672930149187,-0.736652519174485,-0.0592637296599633,-0.3596700104893391,-0.0733932180950914,1.1420213988197518,-0.1982078076158816,-1.1107630349746689,0.692648032237849,0.1294809801689778,-1.004569768941593,-0.0374015652657615,-0.6995745182067675,-1.0241475289952395,-0.440811628661977,-0.0586499566605006,0.3122878569285833,1.0127169667636815,-0.615952281947613,-0.1151263767163172,-0.4502500953037253,-1.6310305957806157,0.9602614949260374,0.1186414046309396,0.5894030944222333,-1.509341042422939,0.6072002642275326,0.750204912829097,-0.2259953390452402,-1.082886435743975,-0.5361208686997694,0.0896850706374493,0.751999890180255,0.8235626757470519,0.8704452318328809,-0.3218420435327115,-0.5728526400243794,-0.4782283022476529,-0.2259953390452402,-0.2316299866877389
