Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
antonin-kinsky,76.0,307,3,95,NULL,30/06/2031,15000000.0,05/01/2025,NULL,1.0,NULL,NULL,0.0997039943933291,0.5400845202251955,-2.1655960515533006,-2.114970525993256,-2.2218605189661007,-1.890293044929476,-1.9898026995648217,-2.224343401231557,-2.131186592554477,-1.7562193269454354,-1.1696668347829708,-2.04703372089145,-2.7695002048666506,-2.776197330753242,-1.827396892421502,-0.506653504303553,-2.616765737804544,-0.6876081837632411,-1.4861846967459953,-2.946650791788508,-0.78706373047789,-2.2008477997394365,-2.1799631107886825,-1.9434978644251195,2.770551948608289,-1.1542140570121528,-2.116573845927152,0.1752624281159314,-2.030197147765831,-1.979866964009169,-1.823681402786772,2.8148631988142867,2.9310577431986515,3.000440601025724,2.770551948608289,2.696171030214474
robert-sanchez,28.0,123,3,28,6.0,30/06/2030,20000000.0,05/08/2023,1.0227444372429229,1.0,-0.672733972164495,-0.1081126644895613,0.6189956318585909,0.1387932678288245,-2.1655960515533006,-1.84109575571546,-2.1716103715315502,-1.0823834348900945,-1.792756113440176,-2.127145986299744,-2.131186592554477,-1.808510169656164,-0.8383690138188827,-1.3290062504747182,-0.9335413595418304,-0.1837822850837678,-1.4235820222635391,0.2764007508709185,-2.091549824471012,-0.7662267180980222,-0.0747734323198225,-1.8831820705817608,0.5033739178659755,-1.9242450968128373,-1.734016970786088,-1.7697105884732345,2.917923126689611,-0.2269549805258396,-1.99950325502142,-0.6805111466688893,-1.5444167125688952,-1.6825335173683578,-1.6526257434458418,2.9596342099995328,2.981113605816123,2.9492837053893504,2.917923126689611,2.837838821354904
marcus-bettinelli,46.0,208,3,28,NULL,30/06/2026,800000.0,28/07/2021,NULL,1.0,NULL,NULL,-0.7657820680487738,-1.6670173679548448,-2.1655960515533006,-1.84109575571546,-2.272110666400652,-2.226922049112551,-1.792756113440176,-2.224343401231557,-2.131186592554477,-1.808510169656164,-1.3684455273614238,-1.770869309192707,-2.441650411058647,-2.5103086081204755,-2.096606805860144,-1.2897077594780246,-2.2885057919710867,-1.0807008554371471,-1.4861846967459953,-2.633865873786524,-0.78706373047789,-1.9242450968128373,-1.8455035057867368,-1.7697105884732345,2.5740570444998614,-1.8674902696939324,-1.99950325502142,-1.365130006496746,-1.632740428059247,-1.6400573107053846,-1.5670979137753769,2.5253211764437946,2.6307225674938204,2.642342331571111,2.5740570444998614,2.507280642027234
andre-onana,12.0,75,3,55,14.0,30/06/2028,32000000.0,20/07/2023,2.0294595191071374,1.0,1.4670633006040237,2.03648276338736,1.311384481812273,0.740730146423381,-2.0672266393564294,-1.84109575571546,-1.920359634358796,-0.7457544307070186,-1.7434944669090149,-1.8355537415043048,-1.29196572138513,-1.5993467988132506,-0.3082925002763418,-1.494704897493964,-0.3434117306874239,-0.5161431883747261,-0.0102299767106684,0.9289459635163116,-0.7785100411371827,-0.0586599090849913,0.5838851577457247,-1.69551111978057,0.7614614475347486,-1.693742844374005,-1.3995573657841422,-1.7697105884732345,3.0161705787438247,0.3436659896195839,-1.4141503004927596,-0.2526243592764789,-1.8977115745303028,-1.6400573107053846,-1.6953896582810744,3.1044052211847792,2.9310577431986515,3.512009557389456,3.0161705787438247,3.121174403635763
altay-bayndr,88.0,349,3,55,NULL,30/06/2027,10000000.0,01/09/2023,0.1709085987424335,1.0,NULL,NULL,0.2728012068817497,-0.0618523583693609,-2.2639654637501714,-1.9323873458080585,-2.2218605189661007,-1.890293044929476,-1.6449711738466917,-2.6131330609588104,-2.279284393349068,-1.7562193269454354,-1.1696668347829708,-2.82029407364793,-2.441650411058647,-2.443836427462284,-1.019767152105576,-0.3761444617744744,-2.682417726971236,-1.0020823211023655,-1.1098083595656825,-2.258523972184142,-0.0988303180278283,-1.970345547300604,-1.9012467732870608,-1.8131574074612056,2.868799400662504,-0.5835930868667294,-2.058038550474285,-0.6805111466688893,-1.8093878590399508,-1.8524383440202496,-1.8664453176220048,2.9113772062711174,2.730834292728764,2.6934992272074845,2.868799400662504,2.8850614184017136
Dean Bradley Henderson,46.0,196,3,30,NULL,30/06/2028,15000000.0,31/08/2023,1.0227444372429229,1.0,-0.478206947367357,0.088817894477946,0.965190056835432,0.5400845202251955,-2.116411345454865,-1.9780331408543577,-2.272110666400652,-1.5536640407464,-2.1375876391583057,-2.4673369385610906,-2.131186592554477,-1.9653826977883488,-0.970888142204518,-1.770869309192707,-0.802401442018629,-0.7820319110074927,-0.346742368508971,0.5374188359290758,-0.5815540736371082,-0.7662267180980222,-0.3570556852050571,-2.195966988583745,-0.4429470242528591,-2.2008477997394365,-1.566787168285115,-1.9434978644251195,2.967046852716717,-0.5835930868667294,-2.058038550474285,-0.6805111466688893,-1.765226001294775,-1.809962137357277,-1.6953896582810744,3.1044052211847792,2.9310577431986515,2.9492837053893504,2.967046852716717,3.026729209542143
Matthew Charles Turner,29.0,134,3,30,NULL,30/06/2025,4000000.0,30/08/2024,-0.3711687530306051,1.0,-0.575470459765926,-0.0085653489675246,-0.0733932180950914,-0.8644348631621029,-2.1655960515533006,-1.704158370576561,-2.2218605189661007,-2.967505858315317,-1.5957095273155304,-2.321540816163371,-2.131186592554477,-1.7562193269454354,-2.229819861868053,-2.378431014929941,-1.917090740965841,-1.7126424402221756,-1.2216745871845576,-0.1151263767163172,-1.5006819219707888,-1.2379379241067094,-1.0157142752706043,-2.0082960377825545,-0.4429470242528591,-1.6476423938862383,-2.124219843288358,-1.2483487606175796,2.7214282225811823,-0.5835930868667294,-2.175109141380018,-0.7660885041473715,-1.9418734322754787,-1.937390757346196,-1.823681402786772,2.718349191357456,2.730834292728764,2.540028540298365,2.7214282225811823,2.6489484331676643
Remi Luke Matthews,46.0,196,3,30,NULL,30/06/2025,500000.0,12/07/2021,-0.6538233721694039,1.0,-2.1316866581430305,-1.6629984515022431,-1.9774625554677177,-3.071536751342143,-2.2639654637501714,-1.704158370576561,-2.1716103715315502,-2.226922049112551,-1.5957095273155304,-2.029948571367932,-2.08182065895628,-1.494765113391794,-1.5672242199398767,-2.212732367910696,-1.523670988396237,-1.3802815369312174,-1.154372108824897,-2.203271057181575,-1.6976378894708632,-1.4737935271110532,-1.0157142752706043,-2.383637939384936,-0.2708886711403437,-1.5554414929107054,-2.1799631107886825,-1.7697105884732345,2.1810672362830053,-1.7248350271575763,-1.7068267777570896,-2.905522441109424,-1.8977115745303028,-1.7674859306943038,-1.5670979137753769,2.2357791540733025,2.280331529171517,2.284244062116499,2.1810672362830053,2.129499865652756
Matz Willy Els Sels,11.0,67,3,58,NULL,30/06/2027,7000000.0,01/02/2024,-0.1388498879850171,1.0,-0.672733972164495,-0.1059485924129953,1.1382872693238526,0.5400845202251955,-2.018041933257994,-1.6585125755302617,-2.2218605189661007,-1.3516866382365549,-1.447924587722046,-2.175744693765651,-1.9337228581616897,-1.5993467988132506,-0.6395903212404299,-1.881335073872204,-1.982660699727442,-2.177947704829517,-2.029304327500484,0.9289459635163116,-2.0258978353043204,-0.5303711150936786,-0.827526106680448,-2.5713088901861263,-0.184859494584086,-1.6476423938862383,-1.9012467732870608,-1.682816950497292,3.2126654828522527,-0.3696102230621955,-1.7068267777570896,-0.5093564317119252,-1.8093878590399508,-1.7674859306943038,-1.6953896582810744,3.0561482174563634,3.0311694684335952,3.153911287934843,3.2126654828522527,2.9795066124953333
carlos-miguel,8.0,60,3,58,6.0,30/06/2028,4000000.0,09/07/2024,-0.3711687530306051,2.0,NULL,NULL,-0.246490430583512,-0.2624979845675464,-2.1655960515533006,-2.114970525993256,-2.1716103715315502,-2.765528455805472,-1.9898026995648217,-2.8075278908224366,-2.2299184597508708,-1.9653826977883488,-3.024934632181864,-2.709828308968433,-3.228489916197856,-3.4409191373351584,-2.9715390245357307,-0.1151263767163172,-2.945025683638001,-1.0807008554371471,-1.2039024438607608,-3.0092077753889046,0.2452863881972024,-1.970345547300604,-2.1799631107886825,-2.030391502401062,2.7214282225811823,-2.580766482375712,-2.233644436832884,-3.333409228501834,-2.162682721001359,-1.8524383440202496,-1.823681402786772,2.57357818017221,2.830946017963708,2.642342331571111,2.7214282225811823,2.507280642027234
