Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
niklas-lomb,1.0,5,3,16,,30/06/2027,01/07/2012,,-1.458170918002456,-1.3951749927762718,2.3865578533892453,2.4600580449804244,2.428807168986964,2.0300522160841576,2.230190962310112,-1.0286896744198677,-1.970345547300604,-2.599362544288936,-1.6449711738466917,2.230190962310112,-1.6128667804839625,-2.4695998727475867,-2.0672266393564294,250000.0,0,268068.96404496
gregor-kobel,86.0,335,3,20,,30/06/2028,01/07/2021,,2.0037733317659554,-1.3951749927762718,2.3865578533892453,3.2628421947761925,3.345690239826856,3.2814487815209543,3.360036660933574,1.5814911761617043,-2.01644599778837,-1.826102191532456,-1.8912794065024987,3.360036660933574,-1.9323873458080585,2.1452495298106795,-2.1655960515533006,40000000.0,2,25321074.92999039
Marcel Laurenz Lotka,1.0,30,3,20,,30/06/2025,01/07/2022,-0.6654393154216833,1.311384481812273,1.6709478462801952,-0.1712869284294138,-0.2316299866877389,-0.3218420435327115,-0.2224616017020763,-0.1277478869910261,1.5814911761617043,1.348886887818585,0.8250761607754767,1.7048207902722845,-0.1277478869910261,1.125880922294003,0.740730146423381,0.9822251387465696,1300000.0,1,820158.1424001222
Alexander Niklas Meyer-Schade,1.0,5,3,20,,30/06/2026,01/07/2022,-0.626719504580752,0.0997039943933291,-0.5303711150936786,3.153911287934843,2.743393627261284,2.6218351839006253,2.680778430111292,2.770551948608289,0.2764007508709185,-2.062546448276137,-2.6545954266286844,-2.088325992627144,2.770551948608289,-2.0236789359006573,-0.6637892369639175,-2.1655960515533006,800000.0,1,3270264.425929671
peter-gulacsi,45.0,193,3,66,,30/06/2026,01/07/2015,,1.6575789067891142,-0.7662267180980222,2.9492837053893504,3.168397000682573,3.1526622249131946,3.2814487815209543,3.360036660933574,1.1899640485744687,-1.9242450968128373,-2.3231981325901927,-1.8912794065024987,3.360036660933574,-1.9323873458080585,1.1420213988197518,-2.018041933257994,2500000.0,1,6160837.614949229
maarten-vandevoordt,11.0,67,3,66,,30/06/2029,01/07/2024,0.1709085987424335,0.0997039943933291,-0.8448452524328034,2.8469699141166043,2.743393627261284,2.863120202542702,2.830946017963708,2.7214282225811823,-0.506653504303553,-2.246948250227203,-2.212732367910696,-2.1375876391583057,2.7214282225811823,-2.0693247309469567,1.342667025017937,-1.7721184027658168,8000000.0,1,6482715.391113482
leopold-zingerle,1.0,5,3,66,11.0,30/06/2026,01/07/2023,-0.6499513910853107,-0.9388792805371944,-1.2379379241067094,2.488871644661992,2.507280642027234,2.5253211764437946,2.4304991170239325,2.475809592445647,-0.8981806318907889,-2.2008477997394365,-2.599362544288936,-1.9898026995648217,2.475809592445647,-2.0693247309469567,-1.8676629941530305,-2.2639654637501714,400000.0,0,405434.79229800025
Kevin Christian Trapp,1.0,5,3,32,14.0,30/06/2026,07/08/2019,,1.311384481812273,-0.7662267180980222,2.898126809752977,3.121174403635763,3.0561482174563634,3.131281193668539,2.967046852716717,1.3204730911035474,-1.878144646325071,-2.378431014929941,-1.792756113440176,2.967046852716717,-1.79544996066916,0.740730146423381,-2.1655960515533006,3000000.0,1,5296318.51263216
Kauã Morais Vieira dos Santos,8.0,60,3,32,11.0,30/06/2030,29/08/2023,-0.6499513910853107,-0.5926848555603532,-1.4737935271110532,2.335400957752872,2.790616224308094,2.8148631988142867,2.380443254406461,2.1810672362830053,-0.2456354192453958,-2.1086468987639035,-2.599362544288936,-2.1375876391583057,2.1810672362830053,-2.206262116085855,0.5400845202251955,-2.2639654637501714,2500000.0,1,4852096.998801111
jens-grahl,1.0,5,3,32,,30/06/2026,19/07/2021,,-1.6312681304908767,-1.7096491301153969,2.079616479571006,2.3656128508868046,2.47706417271538,2.1301639413191014,2.230190962310112,-1.2897077594780246,-1.878144646325071,-2.4336638972696902,-1.8420177599713368,2.230190962310112,-1.84109575571546,-2.670245498945772,-1.870487814962688,200000.0,0,229657.66791379568
alexander-nubel,1.0,5,3,104,,30/06/2026,25/07/2023,-0.0614102663031544,0.965190056835432,-0.3731340464241162,3.256225079207589,3.026729209542143,3.0561482174563634,2.9310577431986515,2.967046852716717,0.9289459635163116,-1.6476423938862383,-1.4394720151542155,-1.7434944669090149,2.967046852716717,-1.5672209854376629,0.5400845202251955,-2.0672266393564294,12000000.0,1,5459279.037349556
fabian-bredlow,1.0,5,3,104,,30/06/2026,01/07/2019,,-0.5926848555603532,-1.2379379241067094,2.488871644661992,2.6489484331676643,2.57357818017221,2.4805549796414046,2.475809592445647,-0.506653504303553,-2.15474734925167,-2.4336638972696902,-2.1375876391583057,2.475809592445647,-2.1606163210395555,-1.4663717417566593,-2.411519582045478,1000000.0,0,497077.1558797717
Stefan Drljača,1.0,33,3,104,,30/06/2027,01/07/2024,-0.6557593627114504,-1.458170918002456,-1.9455047331197404,1.9261457926618868,2.507280642027234,2.428807168986964,2.230275666554045,2.279314688337219,-1.0286896744198677,-2.1086468987639035,-2.930759838327427,-2.088325992627144,2.279314688337219,-2.0693247309469567,-1.4663717417566593,-2.411519582045478,325000.0,0,379111.2449954697
dennis-seimen,1.0,32,3,104,7.0,30/06/2029,01/07/2023,-0.6654393154216833,-1.458170918002456,-1.3165564584414906,2.4377147490256186,2.4128354479336145,2.380550165258549,2.180219803936573,2.1810672362830053,-0.2456354192453958,-2.062546448276137,-2.04703372089145,-1.94054105303366,2.1810672362830053,-1.9780331408543577,1.1420213988197518,-2.313150169848607,1500000.0,0,634575.3793849705
pavao-pervan,95.0,50,3,107,,30/06/2026,01/07/2018,,-0.5926848555603532,-1.2379379241067094,2.488871644661992,2.5545032390740445,2.57357818017221,2.730834292728764,2.4266858664185404,-0.2456354192453958,-1.785943745349538,-2.8755269559876786,-1.9898026995648217,2.4266858664185404,-1.9780331408543577,-1.4663717417566593,-1.870487814962688,300000.0,0,491021.43521897425
marius-muller,1.0,5,3,107,,-,01/07/2024,-0.6034876180761931,-0.0733932180950914,-1.7096491301153969,2.1307733752073794,2.837838821354904,2.766606195085872,2.680778430111292,2.8196756746353966,-0.2456354192453958,-1.9242450968128373,-2.488896779609439,-1.94054105303366,2.8196756746353966,-1.9323873458080585,-0.8644348631621029,-2.2639654637501714,1500000.0,1,2908054.242573416
niklas-klinger,1.0,5,3,107,,30/06/2025,01/07/2019,-0.6731832775898695,-2.1505597679561386,-1.4737935271110532,2.335400957752872,2.176722462699565,1.9944941354312256,2.1301639413191014,2.082819784228791,-1.420216802007103,-2.2008477997394365,-3.0412256030069247,-1.8912794065024987,2.082819784228791,-2.114970525993256,-2.8708911251439577,-2.214780757651736,100000.0,0,135902.35918189096
jonas-omlin,86.0,335,3,21,7.0,30/06/2027,19/01/2023,-0.1388498879850171,0.2728012068817497,-1.1593193897719285,2.591185435934738,2.837838821354904,2.863120202542702,2.9310577431986515,2.7214282225811823,0.0153826658127613,-1.6476423938862383,-1.9918008385517008,-1.6449711738466917,2.7214282225811823,-1.6128667804839625,-0.4631436107657319,-1.6245642844705104,2500000.0,1,3340594.492717222
tiago-pereira-cardoso,57.0,244,3,21,0.0,-,01/03/2025,,-1.458170918002456,-1.2379379241067094,2.488871644661992,2.3656128508868046,2.5253211764437946,2.380443254406461,2.279314688337219,-2.594798184768811,-2.1086468987639035,-2.8755269559876786,-2.1868492856894672,2.279314688337219,-2.0693247309469567,0.5400845202251955,-2.214780757651736,300000.0,0,500557.3839343281
moritz-nicolas,1.0,5,3,21,7.0,30/06/2029,01/07/2016,-0.6538233721694039,0.0997039943933291,-1.0020823211023655,2.6934992272074845,2.837838821354904,2.863120202542702,2.9310577431986515,2.8196756746353966,-1.6812348870652605,-2.01644599778837,-2.985992720667176,-1.8420177599713368,2.8196756746353966,-1.9780331408543577,-0.2624979845675464,-2.116411345454865,5000000.0,1,4195200.814497763
tobias-sippel,1.0,5,3,21,,30/06/2025,01/07/2015,,-1.458170918002456,-0.7662267180980222,2.898126809752977,2.176722462699565,2.2357791540733025,2.230275666554045,2.3775621403914333,-0.8981806318907889,-1.970345547300604,-2.6545954266286844,-1.792756113440176,2.3775621403914333,-1.84109575571546,-2.4695998727475867,-2.116411345454865,300000.0,0,294672.8470433374
noah-atubolu,1.0,28,3,82,,-,01/07/2021,,0.0997039943933291,-0.7662267180980222,2.9492837053893504,2.743393627261284,2.766606195085872,2.6307225674938204,2.7214282225811823,0.1458917083418399,-2.062546448276137,-2.930759838327427,-1.9898026995648217,2.7214282225811823,-2.0236789359006573,0.9413757726215664,-2.214780757651736,15000000.0,1,5489649.171889542
florian-muller,1.0,5,3,82,,-,01/07/2023,-0.5647678072352618,-0.4195876430719326,-1.0020823211023655,2.7446561228438577,2.8850614184017136,2.6218351839006253,2.4805549796414046,2.475809592445647,-0.2456354192453958,-1.9242450968128373,-2.378431014929941,-1.8912794065024987,2.475809592445647,-1.8867415507617589,-0.8644348631621029,-2.214780757651736,1200000.0,1,2934678.6935870685
jannik-huth,1.0,5,3,82,,-,01/07/2024,-0.6499513910853107,-0.9388792805371944,-0.7662267180980222,2.898126809752977,2.507280642027234,2.57357818017221,2.330387391788989,2.4266858664185404,-0.6371625468326316,-1.8320441958373044,-2.378431014929941,-1.6449711738466917,2.4266858664185404,-1.6585125755302617,-1.8676629941530305,-1.9688572271595584,400000.0,0,424460.2724820435
michael-zetterer,1.0,5,3,85,,30/06/2027,27/01/2015,,0.2728012068817497,-0.3731340464241162,3.256225079207589,2.790616224308094,2.8148631988142867,2.680778430111292,2.7214282225811823,0.5374188359290758,-1.8320441958373044,-2.1022666032311985,-1.5957095273155304,2.7214282225811823,-1.6585125755302617,-0.2624979845675464,-1.9688572271595584,4500000.0,1,3826746.323491552
markus-kolke,1.0,5,3,85,,-,01/07/2024,-0.657695353253497,-0.9388792805371944,-1.5524120614458343,2.233087166480126,2.507280642027234,2.5253211764437946,2.4304991170239325,2.5249333184727543,-0.506653504303553,-1.970345547300604,-2.709828308968433,-1.3986629411908846,2.5249333184727543,-1.704158370576561,-1.8676629941530305,-2.214780757651736,300000.0,0,408096.5216666488
mio-backhaus,1.0,25,3,85,,-,12/07/2022,-0.6034876180761931,-1.2850737055140355,-1.5524120614458343,2.233087166480126,2.4600580449804244,2.380550165258549,2.280331529171517,2.3775621403914333,-0.7676715893617102,-2.2008477997394365,-2.599362544288936,-1.9898026995648217,2.3775621403914333,-2.0236789359006573,0.5400845202251955,-2.214780757651736,2000000.0,0,632923.809208985
Frederik Riis Rønnow,22.0,96,3,1,14.0,-,20/07/2021,,0.965190056835432,-1.0807008554371471,2.642342331571111,3.026729209542143,3.007891213727948,3.131281193668539,2.967046852716717,0.5374188359290758,-1.878144646325071,-3.0412256030069247,-2.039064346095983,2.967046852716717,-1.9780331408543577,0.33943889402701,-2.116411345454865,4000000.0,1,4546709.154544157
alexander-schwolow,1.0,5,3,1,,30/06/2025,26/07/2023,,-0.7657820680487738,-1.4737935271110532,2.335400957752872,2.6017258361208544,2.6218351839006253,2.230275666554045,2.5740570444998614,-0.2456354192453958,-1.785943745349538,-2.4336638972696902,-1.8420177599713368,2.5740570444998614,-1.84109575571546,-1.6670173679548448,-2.362334875947042,700000.0,0,465507.1088048039
carl-klaus,1.0,5,3,1,2.0,-,28/07/2024,-0.6538233721694039,-1.2850737055140355,-1.2379379241067094,2.488871644661992,2.4600580449804244,2.380550165258549,2.5806667048763483,2.328438414364326,-2.594798184768811,-2.1086468987639035,-3.096458485346673,-1.94054105303366,2.328438414364326,-2.0693247309469567,-2.2689542465494013,-2.313150169848607,350000.0,0,221309.0853288357
oliver-baumann,1.0,5,3,93,14.0,30/06/2026,01/07/2014,,1.4844816943006938,-0.5303711150936786,3.10275439229847,3.073951806588953,3.1526622249131946,3.1813370562860106,3.065294304770932,1.3204730911035474,-1.878144646325071,-2.765061191308181,-1.8420177599713368,3.065294304770932,-1.8867415507617589,0.9413757726215664,-2.116411345454865,3000000.0,1,5554946.650925568
robin-zentner,1.0,5,3,2,14.0,30/06/2028,01/07/2014,,0.6189956318585909,-1.7096491301153969,2.1307733752073794,3.073951806588953,3.0561482174563634,2.830946017963708,2.672304496554076,0.6679278784581544,-1.878144646325071,-2.82029407364793,-1.6449711738466917,2.672304496554076,-1.749804165622861,-0.0618523583693609,-1.9688572271595584,4000000.0,1,3558203.1546851043
daniel-batz,1.0,5,3,2,,30/06/2026,01/07/2023,-0.6538233721694039,-0.7657820680487738,-1.2379379241067094,2.488871644661992,2.5545032390740445,2.5253211764437946,2.5306108422588767,2.5740570444998614,-0.7676715893617102,-1.9242450968128373,-2.4336638972696902,-1.792756113440176,2.5740570444998614,-1.8867415507617589,-1.6670173679548448,-2.018041933257994,350000.0,0,459408.63046432403
Nediljko Labrović,21.0,93,3,35,,30/06/2029,01/07/2024,-0.3324489421896738,-0.246490430583512,-1.4737935271110532,2.335400957752872,2.743393627261284,2.6700921876290407,2.5306108422588767,2.7214282225811823,-0.2456354192453958,-2.1086468987639035,-2.544129661949188,-2.039064346095983,2.7214282225811823,-1.9780331408543577,-0.4631436107657319,-2.214780757651736,3000000.0,1,3485047.546911861
daniel-klein,1.0,5,3,35,,30/06/2026,02/07/2021,-0.6693112965057764,-2.323656980444559,-1.866886198784959,1.97730268829826,2.129499865652756,2.0910081428880565,2.0801080787016297,1.984572332174577,-1.9422529721234176,-2.2008477997394365,-2.930759838327427,-2.088325992627144,1.984572332174577,-2.0236789359006573,-1.8676629941530305,-2.313150169848607,150000.0,0,155377.26208555547
timo-horn,1.0,5,3,105,7.0,30/06/2026,01/08/2024,-0.5879996937398206,-0.246490430583512,-1.7096491301153969,2.079616479571006,2.6017258361208544,2.718349191357456,2.9310577431986515,2.475809592445647,0.5374188359290758,-1.693742844374005,-2.488896779609439,-1.6942328203778532,2.475809592445647,-1.79544996066916,-1.0650804893602883,-1.870487814962688,800000.0,1,1837619.2589776036
patrick-drewes,1.0,5,3,105,11.0,30/06/2026,01/07/2024,-0.6344634667489382,-0.246490430583512,-1.2379379241067094,2.540028540298365,2.696171030214474,2.718349191357456,2.680778430111292,2.6231807705269685,-0.3761444617744744,-1.9242450968128373,-2.709828308968433,-1.6449711738466917,2.6231807705269685,-1.749804165622861,-1.0650804893602883,-2.0672266393564294,800000.0,1,2371722.1522970605
paul-grave,1.0,5,3,105,,30/06/2025,01/07/2019,-0.6770552586739627,-3.3622402553750823,-2.181360336124084,1.670361314480021,2.035054671559136,1.801466120517564,1.9299404908492144,1.837201154093256,-4.421924780175911,-2.062546448276137,-2.82029407364793,-1.9898026995648217,1.837201154093256,-2.0693247309469567,-3.071536751342143,-2.214780757651736,50000.0,0,95384.95142279909
kevin-muller,1.0,5,3,0,,30/06/2027,01/07/2015,,-0.0733932180950914,-1.0807008554371471,2.642342331571111,2.790616224308094,2.57357818017221,2.680778430111292,2.770551948608289,0.0153826658127613,-1.785943745349538,-2.709828308968433,-1.8420177599713368,2.770551948608289,-1.79544996066916,-0.8644348631621029,-2.214780757651736,1000000.0,1,2707568.7444967283
vitus-eicher,1.0,5,3,0,2.0,30/06/2025,17/01/2017,-0.6615673343375902,-1.458170918002456,-1.6310305957806157,2.1819302708437527,2.3656128508868046,2.332293161530133,2.380443254406461,2.3775621403914333,-2.333780099710653,-1.8320441958373044,-2.378431014929941,-1.3986629411908846,2.3775621403914333,-1.704158370576561,-2.4695998727475867,-2.214780757651736,250000.0,0,219147.2278049629
frank-feller,1.0,5,3,0,,30/06/2029,01/07/2023,,-1.1119764930256149,-1.0807008554371471,2.642342331571111,2.3656128508868046,2.6700921876290407,2.5806667048763483,2.672304496554076,-3.769379567530518,-2.2008477997394365,-2.709828308968433,-2.039064346095983,2.672304496554076,-2.0693247309469567,-0.2624979845675464,-2.214780757651736,500000.0,0,418906.57336900535
paul-tschernuth,6.0,50,3,0,2.0,30/06/2027,01/07/2021,,-2.6698514054214,-1.6310305957806157,2.1819302708437527,1.9878320745123257,2.042751139159641,2.180219803936573,1.984572332174577,-4.030397652588675,-2.062546448276137,-2.599362544288936,-1.8912794065024987,1.984572332174577,-2.0236789359006573,-1.8676629941530305,-2.2639654637501714,100000.0,0,105310.74188743375
nikola-vasilj,7.0,56,3,38,,-,01/07/2021,,-0.0733932180950914,-1.3165564584414906,2.4377147490256186,2.743393627261284,2.6700921876290407,2.6307225674938204,2.8196756746353966,-0.1151263767163172,-2.15474734925167,-2.488896779609439,-2.088325992627144,2.8196756746353966,-1.9780331408543577,-0.6637892369639175,-2.313150169848607,3000000.0,1,3328220.5357537414
eric-oelschlagel,1.0,5,3,38,,-,23/10/2024,-0.6538233721694039,-1.458170918002456,-1.866886198784959,1.97730268829826,2.3656128508868046,2.428807168986964,2.230275666554045,2.279314688337219,-1.0286896744198677,-2.01644599778837,-2.4336638972696902,-1.8912794065024987,2.279314688337219,-1.84109575571546,-2.2689542465494013,-2.116411345454865,300000.0,0,294483.70565181377
soren-ahlers,1.0,5,3,38,,-,31/08/2021,,-2.6698514054214,-1.5524120614458343,2.233087166480126,2.0822772686059454,2.042751139159641,2.0300522160841576,2.082819784228791,-3.63887052500144,-2.2008477997394365,-3.096458485346673,-2.1375876391583057,2.082819784228791,-2.1606163210395555,-3.071536751342143,-2.2639654637501714,50000.0,0,53463.67470543319
thomas-dahne,1.0,5,3,46,,30/06/2026,01/07/2020,,-1.1119764930256149,-1.2379379241067094,2.540028540298365,2.5545032390740445,2.57357818017221,2.380443254406461,2.230190962310112,-0.8981806318907889,-1.5554414929107054,-2.3231981325901927,-1.5957095273155304,2.230190962310112,-1.749804165622861,-2.068308620351216,-2.116411345454865,400000.0,0,383837.4570653737
marcel-engelhardt,1.0,5,3,46,,-,01/07/2023,-0.6673753059637298,-1.8043653429792967,-1.5524120614458343,2.233087166480126,2.3183902538399948,2.47706417271538,2.0300522160841576,2.279314688337219,-2.333780099710653,-1.785943745349538,-2.6545954266286844,-1.7434944669090149,2.279314688337219,-1.79544996066916,-2.8708911251439577,-1.9196725210611232,175000.0,0,144024.6433050938
gianluigi-donnarumma,53.0,224,3,65,14.0,30/06/2026,14/07/2021,,2.176870544254376,-1.0020823211023655,2.6934992272074845,3.3572873888698123,3.490461251012102,3.2814487815209543,3.310912934906467,1.3204730911035474,-1.6476423938862383,-2.04703372089145,-1.9898026995648217,3.310912934906467,-1.84109575571546,2.1452495298106795,-2.214780757651736,35000000.0,2,25439028.6917894
Arnau Tenas Ureña,28.0,113,3,65,,30/06/2026,30/07/2023,-0.2937291313487425,-0.0733932180950914,-0.4517525807588974,3.2050681835712163,2.790616224308094,2.6700921876290407,2.6307225674938204,2.672304496554076,0.0153826658127613,-2.062546448276137,-1.770869309192707,-2.1375876391583057,2.672304496554076,-2.1606163210395555,0.33943889402701,-2.116411345454865,4000000.0,1,5245817.376643341
geronimo-rulli,5.0,46,3,62,,30/06/2027,11/08/2024,-0.2937291313487425,1.1382872693238526,-0.4517525807588974,3.2050681835712163,3.073951806588953,3.0561482174563634,2.9310577431986515,3.065294304770932,0.9289459635163116,-1.693742844374005,-2.8755269559876786,-1.5957095273155304,3.065294304770932,-1.704158370576561,0.5400845202251955,-2.214780757651736,8000000.0,1,4926993.254557581
jeffrey-de-lange,69.0,275,3,62,14.0,30/06/2027,08/08/2024,-0.4486083747124678,-0.246490430583512,-0.7662267180980222,2.898126809752977,2.6017258361208544,2.6700921876290407,2.5806667048763483,2.7214282225811823,-0.2456354192453958,-2.246948250227203,-2.8755269559876786,-2.1375876391583057,2.7214282225811823,-2.114970525993256,-0.4631436107657319,-2.1655960515533006,2500000.0,1,3548827.9651342174
Rubén Blanco Veiga,28.0,113,3,62,,30/06/2026,30/07/2023,-0.3711687530306051,-0.0733932180950914,-0.8448452524328034,2.8469699141166043,2.6489484331676643,2.9113772062711174,2.730834292728764,2.5740570444998614,-0.7676715893617102,-1.785943745349538,-3.1516913676864218,-1.447924587722046,2.5740570444998614,-1.5672209854376629,-0.4631436107657319,-1.9196725210611232,1500000.0,1,3142682.3207765967
lucas-chevalier,32.0,140,3,50,14.0,30/06/2027,01/07/2020,-0.4873281855533991,1.311384481812273,-0.8448452524328034,2.8469699141166043,3.168397000682573,3.1044052211847792,3.081225331051067,3.065294304770932,0.9289459635163116,-2.1086468987639035,-2.765061191308181,-1.94054105303366,3.065294304770932,-1.9780331408543577,1.9446039036124936,-2.214780757651736,30000000.0,2,24035676.698971618
vito-mannone,53.0,224,3,50,,30/06/2025,29/08/2023,-0.6654393154216833,-0.4195876430719326,-1.1593193897719285,2.591185435934738,2.6017258361208544,2.428807168986964,2.5806667048763483,2.770551948608289,-0.2456354192453958,-1.9242450968128373,-2.378431014929941,-1.6449711738466917,2.770551948608289,-1.6585125755302617,-1.2657261155584738,-2.2639654637501714,200000.0,1,2208825.2933909865
marc-aurele-caillard,32.0,140,3,50,,30/06/2025,30/08/2024,-0.6654393154216833,-1.2850737055140355,-1.3165564584414906,2.4377147490256186,2.3656128508868046,2.380550165258549,2.4304991170239325,2.475809592445647,-1.420216802007103,-1.878144646325071,-2.378431014929941,-1.9898026995648217,2.475809592445647,-1.9780331408543577,-2.2689542465494013,-2.1655960515533006,150000.0,0,311780.73136936285
Lucas Estella Perri,8.0,63,3,61,14.0,30/06/2028,05/01/2024,-0.0614102663031544,1.1382872693238526,-0.5303711150936786,3.153911287934843,3.026729209542143,3.007891213727948,3.081225331051067,3.065294304770932,0.6679278784581544,-1.878144646325071,-2.930759838327427,-1.6449711738466917,3.065294304770932,-1.8867415507617589,1.342667025017937,-1.870487814962688,10000000.0,1,6049647.855966039
remy-descamps,32.0,140,3,61,,30/06/2027,23/08/2024,-0.5647678072352618,-0.246490430583512,-1.3165564584414906,2.4377147490256186,2.743393627261284,2.718349191357456,2.5306108422588767,2.7214282225811823,-0.3761444617744744,-2.2008477997394365,-2.8755269559876786,-2.088325992627144,2.7214282225811823,-1.9780331408543577,-0.8644348631621029,-2.313150169848607,1500000.0,1,2907625.2551964386
lassine-diarra,59.0,249,3,60,,30/06/2027,04/11/2023,-0.6789912492160093,-2.1505597679561386,-1.7096491301153969,2.079616479571006,2.129499865652756,2.139265146616472,2.1301639413191014,2.131943510255898,-1.5507258445361818,-2.2008477997394365,-2.765061191308181,-1.9898026995648217,2.131943510255898,-1.9780331408543577,-1.2657261155584738,-2.116411345454865,25000.0,0,295747.59222623345
Philipp François Köhn,1.0,336,3,7,,30/06/2028,15/07/2023,-0.3324489421896738,0.2728012068817497,-1.1593193897719285,2.591185435934738,2.790616224308094,2.8148631988142867,2.780890155346236,2.770551948608289,0.2764007508709185,-2.15474734925167,-2.157499485570947,-2.088325992627144,2.770551948608289,-2.0236789359006573,0.33943889402701,-2.2639654637501714,4000000.0,1,4933417.94580283
Radosław Majecki,71.0,289,3,7,,30/06/2028,29/01/2020,-0.5260479963943305,0.4458984193701703,-1.0020823211023655,2.7446561228438577,2.837838821354904,2.863120202542702,2.8810018805811795,2.868799400662504,0.2764007508709185,-1.7398432948617717,-2.157499485570947,-1.447924587722046,2.868799400662504,-1.5215751903913637,0.740730146423381,-2.214780757651736,7000000.0,1,5291218.253433562
Marcin Bułka,71.0,289,3,59,,30/06/2026,01/07/2022,-0.5260479963943305,0.7920928443470114,-1.0020823211023655,2.7446561228438577,2.9795066124953333,2.9596342099995328,2.9310577431986515,3.0161705787438247,0.1458917083418399,-2.15474734925167,-2.8755269559876786,-2.1375876391583057,3.0161705787438247,-2.0236789359006573,1.342667025017937,-2.214780757651736,20000000.0,2,22367192.19817683
maxime-dupe,32.0,140,3,59,,30/06/2026,28/01/2024,-0.5260479963943305,-0.0733932180950914,-0.9234637867675848,2.795813018480231,2.6489484331676643,2.8148631988142867,2.780890155346236,2.6231807705269685,-0.7676715893617102,-1.970345547300604,-2.488896779609439,-1.8912794065024987,2.6231807705269685,-1.9323873458080585,-0.8644348631621029,-2.313150169848607,1200000.0,1,3226717.2585529787
Brice Lauriche Samba,17.0,148,3,91,7.0,30/06/2029,08/01/2025,0.4806670854698842,1.311384481812273,-0.4517525807588974,3.2050681835712163,3.121174403635763,2.9596342099995328,3.2814487815209543,3.114418030798039,1.0594550060453902,-2.01644599778837,-2.488896779609439,-1.7434944669090149,3.114418030798039,-1.9780331408543577,0.740730146423381,-2.313150169848607,15000000.0,2,23099481.730055284
steve-mandanda,97.0,168,3,91,7.0,30/06/2025,06/07/2022,-0.5647678072352618,0.2728012068817497,-0.7662267180980222,2.898126809752977,2.790616224308094,2.6218351839006253,2.8810018805811795,2.917923126689611,0.5374188359290758,-2.15474734925167,-2.212732367910696,-1.7434944669090149,2.917923126689611,-1.79544996066916,-0.4631436107657319,-2.116411345454865,700000.0,1,3566765.2426743917
geoffrey-lembet,32.0,306,3,91,,30/06/2025,18/07/2023,-0.6693112965057764,-1.6312681304908767,-1.4737935271110532,2.284244062116499,2.507280642027234,2.332293161530133,2.0801080787016297,2.328438414364326,-2.7253072272978893,-1.8320441958373044,-2.6545954266286844,-1.6449711738466917,2.328438414364326,-1.704158370576561,-2.670245498945772,-2.1655960515533006,150000.0,0,156313.407835737
gauthier-gallon,32.0,140,3,91,,30/06/2027,05/07/2023,-0.5260479963943305,-0.246490430583512,-0.9234637867675848,2.795813018480231,2.696171030214474,2.718349191357456,2.680778430111292,2.7214282225811823,-0.7676715893617102,-1.785943745349538,-2.709828308968433,-1.5957095273155304,2.7214282225811823,-1.749804165622861,-1.0650804893602883,-2.214780757651736,1000000.0,1,2646274.403194458
Doğan Alemdar,88.0,349,3,91,,30/06/2027,27/08/2021,-0.4873281855533991,-0.7657820680487738,-1.0807008554371471,2.642342331571111,2.4128354479336145,2.5253211764437946,2.5806667048763483,2.6231807705269685,-0.7676715893617102,-2.246948250227203,-2.82029407364793,-1.9898026995648217,2.6231807705269685,-2.0693247309469567,-0.4631436107657319,-2.116411345454865,2000000.0,0,587437.9483496739
marco-bizot,69.0,275,3,90,,30/06/2026,04/08/2021,,0.7920928443470114,-0.9234637867675848,2.795813018480231,2.9322840154485235,2.9596342099995328,2.9310577431986515,3.0161705787438247,0.5374188359290758,-1.8320441958373044,-1.9365679562119529,-1.7434944669090149,3.0161705787438247,-1.704158370576561,0.1387932678288245,-1.821303108864252,3500000.0,1,4530413.429031418
gregoire-coudert,32.0,140,3,90,,30/06/2027,05/07/2021,,-1.458170918002456,-1.7096491301153969,2.1307733752073794,2.3656128508868046,2.428807168986964,2.330387391788989,2.230190962310112,-1.1591987169489462,-2.1086468987639035,-2.8755269559876786,-2.088325992627144,2.230190962310112,-2.0693247309469567,-1.6670173679548448,-2.313150169848607,400000.0,0,349299.9938486173
noah-jauny,48.0,216,3,90,,30/06/2025,01/07/2024,,-2.842948617909821,-2.181360336124084,1.721518210116394,2.035054671559136,2.2357791540733025,1.8298287656142704,1.8863248801203627,-3.769379567530518,-2.2008477997394365,-2.930759838327427,-2.039064346095983,1.8863248801203627,-1.9780331408543577,-1.4663717417566593,-2.214780757651736,0.0,0,105456.89789957192
Денис Петрић,95.0,112,3,70,,30/06/2025,06/08/2024,-0.6731832775898695,-1.2850737055140355,-1.6310305957806157,2.1819302708437527,2.4600580449804244,2.380550165258549,2.180219803936573,2.5249333184727543,-0.6371625468326316,-1.8320441958373044,-2.544129661949188,-1.5957095273155304,2.5249333184727543,-1.84109575571546,-2.2689542465494013,-2.2639654637501714,100000.0,0,333549.34245820553
