Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
mark-flekken,69.0,275,3,22,7.0,30/06/2027,01/07/2023,0.0934689770605708,0.6189956318585909,-0.3731340464241162,3.256225079207589,2.9322840154485235,2.9596342099995328,2.830946017963708,2.868799400662504,0.6679278784581544,-1.970345547300604,-1.826102191532456,-1.6942328203778532,2.868799400662504,-1.6585125755302617,-0.0618523583693609,-2.116411345454865,10000000.0,1,4474095.953357643
hakon-rafn-valdimarsson,51.0,222,3,22,,30/06/2028,26/01/2024,-0.541535920730703,-1.1119764930256149,-1.3951749927762718,2.3865578533892453,2.4128354479336145,2.428807168986964,2.380443254406461,2.475809592445647,-0.8981806318907889,-1.7398432948617717,-2.6545954266286844,-1.4971862342532076,2.475809592445647,-1.8867415507617589,-0.4631436107657319,-2.0672266393564294,2500000.0,0,578982.2147865128
bernd-leno,1.0,5,3,40,7.0,30/06/2027,02/08/2022,0.0160293553787081,1.1382872693238526,-0.6876081837632411,3.000440601025724,3.073951806588953,3.1044052211847792,3.081225331051067,3.114418030798039,0.4069097933999971,-1.8320441958373044,-1.770869309192707,-1.8912794065024987,3.114418030798039,-1.9780331408543577,0.5400845202251955,-2.362334875947042,11000000.0,1,5790205.940725412
Jordan Lee Pickford,46.0,196,3,34,7.0,30/06/2027,01/07/2017,,1.4844816943006938,0.0199586252497898,3.6143233486622015,3.2156195977293827,3.1526622249131946,3.0311694684335952,3.114418030798039,1.1899640485744687,-1.878144646325071,-1.3842391328144668,-1.3986629411908846,3.114418030798039,-1.5215751903913637,0.9413757726215664,-1.9688572271595584,20000000.0,2,22950682.968426883
João Manuel Neves Virgínia,72.0,292,3,34,,30/06/2025,01/07/2020,-0.6189755424125657,-0.5926848555603532,-1.2379379241067094,2.488871644661992,2.6017258361208544,2.6700921876290407,2.730834292728764,2.4266858664185404,-1.5507258445361818,-2.062546448276137,-2.8755269559876786,-1.94054105303366,2.4266858664185404,-2.0236789359006573,-0.8644348631621029,-2.116411345454865,800000.0,0,525959.2592295806
Asmir Begović,95.0,55,3,34,0.0,30/06/2025,23/08/2024,-0.657695353253497,-0.5926848555603532,-1.3165564584414906,2.4377147490256186,2.3656128508868046,2.6218351839006253,2.6307225674938204,2.7214282225811823,-0.506653504303553,-1.9242450968128373,-2.378431014929941,-1.792756113440176,2.7214282225811823,-1.5215751903913637,-1.4663717417566593,-2.116411345454865,300000.0,0,492060.45052464725
jose-sa,72.0,292,3,112,14.0,30/06/2027,15/07/2021,,0.4458984193701703,-1.0020823211023655,2.6934992272074845,2.790616224308094,2.863120202542702,2.8810018805811795,2.868799400662504,0.4069097933999971,-1.6476423938862383,-2.6545954266286844,-1.546447880784369,2.868799400662504,-1.704158370576561,-0.2624979845675464,-1.9196725210611232,8000000.0,1,3448093.984024268
Daniel Ian Bentley,46.0,196,3,112,,30/06/2027,25/01/2023,-0.541535920730703,-0.5926848555603532,-1.0807008554371471,2.642342331571111,2.5545032390740445,2.57357818017221,2.4805549796414046,2.5740570444998614,-0.3761444617744744,-1.878144646325071,-2.04703372089145,-1.7434944669090149,2.5740570444998614,-1.8867415507617589,-1.4663717417566593,-1.9196725210611232,2000000.0,1,1994722.7751935427
Samuel Luke Johnstone,46.0,196,3,112,,30/06/2028,30/08/2024,0.0934689770605708,0.2728012068817497,-1.0807008554371471,2.642342331571111,2.790616224308094,2.863120202542702,2.9310577431986515,2.770551948608289,0.1458917083418399,-1.7398432948617717,-2.709828308968433,-1.6449711738466917,2.770551948608289,-1.8867415507617589,-0.4631436107657319,-1.9688572271595584,8000000.0,1,3242710.4789022515
Arijanet Anan Muriqi,86.0,241,3,48,,30/06/2028,17/07/2024,-0.1388498879850171,-0.246490430583512,-0.6089896494284598,3.051597496662097,2.6489484331676643,2.718349191357456,2.730834292728764,2.672304496554076,-0.7676715893617102,-1.8320441958373044,-1.770869309192707,-1.5957095273155304,2.672304496554076,-1.84109575571546,-0.4631436107657319,-2.1655960515533006,6000000.0,1,4040061.5522873877
jakub-stolarczyk,71.0,289,3,52,,30/06/2026,01/07/2023,-0.6654393154216833,-0.7657820680487738,-1.0807008554371471,2.642342331571111,2.6017258361208544,2.6218351839006253,2.5806667048763483,2.5740570444998614,-1.9422529721234176,-2.2008477997394365,-3.0412256030069247,-1.94054105303366,2.5740570444998614,-2.1606163210395555,-0.8644348631621029,-2.116411345454865,400000.0,0,485003.1259143952
mads-hermansen,22.0,96,3,52,,30/06/2028,18/07/2023,-0.4098885638715365,0.4458984193701703,-0.5303711150936786,3.10275439229847,2.8850614184017136,2.863120202542702,2.981113605816123,2.917923126689611,-0.506653504303553,-1.878144646325071,-1.494704897493964,-1.94054105303366,2.917923126689611,-1.9780331408543577,0.740730146423381,-2.1655960515533006,15000000.0,2,20392752.62563975
Aaron Christopher Ramsdale,46.0,196,3,89,14.0,30/06/2028,30/08/2024,1.255063302288511,0.6189956318585909,-0.294515512089335,3.358538870480336,2.8850614184017136,2.863120202542702,2.981113605816123,2.8196756746353966,0.4069097933999971,-1.785943745349538,-1.881335073872204,-1.5957095273155304,2.8196756746353966,-1.749804165622861,0.33943889402701,-2.0672266393564294,16000000.0,2,21023667.459417168
Thibaut Nicolas Marc Courtois,11.0,67,3,78,6.0,30/06/2026,09/08/2018,,2.5230649692312173,-0.6876081837632411,3.000440601025724,3.404509985916622,3.2491762323700253,3.581783957225785,3.4582841129877884,2.103527346278019,-1.693742844374005,-2.4336638972696902,-1.792756113440176,3.4582841129877884,-1.749804165622861,2.1452495298106795,-2.116411345454865,25000000.0,2,25821068.68875066
Лунін Андрій Олексійович,90.0,353,3,78,14.0,30/06/2030,01/07/2018,,1.1382872693238526,-0.6089896494284598,3.051597496662097,3.026729209542143,3.007891213727948,3.0311694684335952,3.065294304770932,1.0594550060453902,-2.15474734925167,-2.8755269559876786,-1.792756113440176,3.065294304770932,-2.0236789359006573,1.5433126512161228,-2.0672266393564294,20000000.0,2,23476525.43564383
Francisco Javier González Pérez,28.0,113,3,79,14.0,30/06/2026,01/07/2024,,-1.9774625554677177,-1.6310305957806157,2.1819302708437527,2.176722462699565,2.139265146616472,2.180219803936573,2.230190962310112,-1.5507258445361818,-2.1086468987639035,-2.8755269559876786,-1.9898026995648217,2.230190962310112,-1.9780331408543577,0.9413757726215664,-2.2639654637501714,400000.0,0,535698.7825227055
Ignacio Peña Sotorres,28.0,113,3,36,6.0,30/06/2026,30/01/2022,-0.4486083747124678,0.2728012068817497,-0.6089896494284598,3.051597496662097,2.837838821354904,2.766606195085872,2.780890155346236,2.8196756746353966,0.4069097933999971,-2.1086468987639035,-2.544129661949188,-2.1375876391583057,2.8196756746353966,-2.114970525993256,0.5400845202251955,-2.313150169848607,10000000.0,1,5209876.011728275
marc-andre-ter-stegen,1.0,5,3,36,14.0,30/06/2028,01/07/2014,,2.349967756742797,0.098577159584571,3.665480244298575,3.404509985916622,3.2491762323700253,3.381560506755898,3.310912934906467,1.7120002186907832,-2.01644599778837,-2.04703372089145,-1.6942328203778532,3.310912934906467,-1.749804165622861,1.9446039036124936,-1.9196725210611232,15000000.0,2,24790412.22120646
jan-oblak,27.0,110,3,15,7.0,30/06/2028,16/07/2014,,2.349967756742797,-0.5303711150936786,3.10275439229847,3.2628421947761925,3.2491762323700253,3.6318398198432575,3.360036660933574,1.7120002186907832,-1.9242450968128373,-2.04703372089145,-1.7434944669090149,3.360036660933574,-1.8867415507617589,1.9446039036124936,-2.1655960515533006,25000000.0,2,25324231.60086433
Unai Simón Mendibil,28.0,113,3,14,,30/06/2029,01/07/2018,,1.830676119277535,-0.6876081837632411,3.000440601025724,3.168397000682573,3.20091922864161,3.131281193668539,3.26178920887936,1.3204730911035474,-1.878144646325071,-2.82029407364793,-1.546447880784369,3.26178920887936,-1.749804165622861,1.5433126512161228,-2.018041933257994,28000000.0,2,24622521.672431678
Julen Agirrezabala Astúlez,28.0,113,3,14,,30/06/2027,01/07/2022,-0.2937291313487425,0.4458984193701703,-0.5303711150936786,3.10275439229847,2.696171030214474,2.9113772062711174,2.8810018805811795,3.0161705787438247,-0.3761444617744744,-2.01644599778837,-1.770869309192707,-1.6449711738466917,3.0161705787438247,-2.0693247309469567,1.342667025017937,-2.018041933257994,15000000.0,2,20974212.11023019
Francisco Barbosa Vieites,28.0,113,3,77,,30/06/2026,01/07/2024,,-0.4195876430719326,-0.8448452524328034,2.8469699141166043,2.507280642027234,2.6218351839006253,2.6307225674938204,2.5740570444998614,-0.3761444617744744,-2.062546448276137,-2.930759838327427,-2.039064346095983,2.5740570444998614,-2.114970525993256,-0.4631436107657319,-2.2639654637501714,800000.0,1,3428684.5296175196
Alejandro Remiro Gargallo,28.0,113,3,80,,30/06/2027,01/07/2019,,1.6575789067891142,-0.4517525807588974,3.2050681835712163,3.2156195977293827,3.20091922864161,3.131281193668539,3.360036660933574,0.9289459635163116,-1.970345547300604,-2.267965250250444,-1.6449711738466917,3.360036660933574,-1.79544996066916,1.342667025017937,-2.214780757651736,25000000.0,2,23992149.16805026
Unai Marrero Larrañaga,28.0,113,3,80,,30/06/2027,01/07/2023,-0.6615673343375902,-1.2850737055140355,-1.7096491301153969,2.1307733752073794,2.3656128508868046,2.380550165258549,2.380443254406461,2.328438414364326,-1.0286896744198677,-2.062546448276137,-2.82029407364793,-2.088325992627144,2.328438414364326,-2.1606163210395555,-0.6637892369639175,-2.313150169848607,600000.0,0,517057.9319166821
Diego José Conde Alcoado,28.0,113,3,108,,30/06/2029,02/07/2024,-0.5260479963943305,0.4458984193701703,-1.1593193897719285,2.591185435934738,2.8850614184017136,2.766606195085872,2.8810018805811795,2.868799400662504,0.4069097933999971,-2.062546448276137,-2.599362544288936,-1.7434944669090149,2.868799400662504,-1.8867415507617589,0.740730146423381,-2.0672266393564294,10000000.0,1,5128664.530411445
luiz-junior,8.0,64,3,108,,30/06/2030,20/08/2024,-0.2162895096668798,0.4458984193701703,-1.0020823211023655,2.7446561228438577,2.790616224308094,2.863120202542702,2.981113605816123,2.917923126689611,0.4069097933999971,-2.246948250227203,-2.709828308968433,-2.088325992627144,2.917923126689611,-1.9780331408543577,1.342667025017937,-2.1655960515533006,5000000.0,1,6173662.861566161
Iker Álvarez de Eulate Molne,2.0,37,3,109,,30/06/2026,01/07/2021,,-1.2850737055140355,-1.2379379241067094,2.540028540298365,2.3656128508868046,2.380550165258549,2.4304991170239325,2.475809592445647,-1.6812348870652605,-1.5554414929107054,-2.599362544288936,-1.8912794065024987,2.475809592445647,-2.0693247309469567,-0.6637892369639175,-1.821303108864252,800000.0,0,514761.2317930527
Paulo Dino Gazzaniga Farias,5.0,46,3,43,14.0,30/06/2027,01/07/2023,-0.4486083747124678,1.1382872693238526,-0.294515512089335,3.358538870480336,2.9795066124953333,3.0561482174563634,3.081225331051067,3.114418030798039,0.9289459635163116,-1.601541943398472,-1.9918008385517008,-1.7434944669090149,3.114418030798039,-1.84109575571546,0.5400845202251955,-1.6737489905689458,3500000.0,1,5175035.1527332775
