Club actual,Dif_Rel_Media,Dif_Rel_Mediana,Dif_Rel_Std,Num_Jugadores,Dif_Abs_Media,Dif_Abs_Mediana,Valor_Real_Promedio,Valor_Pred_Promedio,Dif_Rel_Abs
VfB Stuttgart,-1.53,-1.61,10.17,24,-127102.62,-239569.0,13270833.33,13143730.71,1.53
Olympique de Marsella,-1.53,-1.01,9.35,17,72005.53,-120841.0,11176470.59,11248476.12,1.53
Borussia Dortmund,1.51,0.68,4.4,8,158018.69,81258.0,20000000.0,20158018.69,1.51
AS Mónaco,1.47,1.3,4.94,16,183240.22,162724.5,16625000.0,16808240.22,1.47
Eintracht Fráncfort​​,-1.45,-1.16,6.85,12,-637228.5,-125910.5,17250000.0,16612771.5,1.45
Tottenham Hotspur,-1.42,-0.96,8.37,17,-589995.18,-525810.0,33588235.29,32998240.12,1.42
1.FC Unión Berlín,1.41,1.39,10.65,17,116681.88,73122.0,5208823.53,5325505.41,1.41
Le Havre AC,1.34,3.73,7.74,11,22569.86,90326.0,3772727.27,3795297.14,1.34
1.FSV Mainz 05,1.29,-0.57,9.2,12,13028.88,-99398.0,8708333.33,8721362.21,1.29
Bolonia,1.28,1.18,10.64,17,-47165.03,59181.5,10429411.76,10382246.74,1.28
FC Nantes,1.25,-2.5,13.86,15,-76954.07,-87405.0,4073333.33,3996379.27,1.25
Brighton & Hove Albion,-1.23,-2.8,10.03,17,-1074702.29,-579732.0,22294117.65,21219415.35,1.23
Real Sociedad,1.19,-0.03,8.86,20,-319078.58,-13867.5,16005000.0,15685921.42,1.19
Athletic Club,1.15,0.99,8.74,16,-480955.34,109136.5,19812500.0,19331544.66,1.15
FC St. Pauli,-1.11,1.82,15.0,13,-153070.38,16405.0,2340384.62,2187314.23,1.11
Stade Rennais FC,1.1,-0.6,7.35,13,-24043.23,-59925.0,8769230.77,8745187.54,1.1
Atalanta de Bérgamo,-1.1,-0.3,8.14,15,-462181.77,-86484.0,23633333.33,23171151.57,1.1
Stade de Reims,-1.03,1.73,10.95,9,-127815.83,53938.0,6166666.67,6038850.83,1.03
Real Madrid CF,1.02,0.07,9.74,13,-2940979.81,68224.0,53961538.46,51020558.65,1.02
Liverpool FC,-0.98,-0.79,1.7,14,-347427.36,-415825.0,46785714.29,46438286.93,0.98
Cagliari,-0.9,0.53,7.3,9,69613.72,5286.0,3944444.44,4014058.17,0.9
Leicester City,0.87,-2.37,12.02,9,-489299.44,-284556.0,9600000.0,9110700.56,0.87
Everton FC,-0.74,-1.34,8.78,12,-373282.04,-393075.0,18400000.0,18026717.96,0.74
SS Lazio,0.71,-0.73,7.37,16,100600.31,-104192.25,14156250.0,14256850.31,0.71
Bayer 04 Leverkusen,0.66,0.64,6.61,17,670557.94,181200.0,33058823.53,33729381.47,0.66
Nottingham Forest,-0.66,-1.62,5.95,13,-128510.5,-210093.0,17076923.08,16948412.58,0.66
RB Leipzig,0.58,0.71,4.82,17,-71568.82,35342.5,20788235.29,20716666.47,0.58
Venezia FC,0.54,-1.69,16.72,14,-97893.54,-74314.5,2821428.57,2723535.04,0.54
Valencia CF,0.35,2.13,7.69,18,13675.69,83478.5,10694444.44,10708120.14,0.35
FC Barcelona,0.25,0.24,7.9,21,15646.88,35828.0,27047619.05,27063265.93,0.25
París Saint-Germain FC,0.25,-0.42,6.56,15,172172.13,-269930.0,43766666.67,43938838.8,0.25
Udinese,0.2,-0.3,11.45,18,-159743.89,-74283.0,5802777.78,5643033.89,0.2
Torino FC,0.16,1.04,11.41,17,24838.79,145894.0,8447058.82,8471897.62,0.16
Chelsea FC,0.03,-0.81,6.71,20,-359582.8,-352605.0,33040000.0,32680417.2,0.03
