Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,Valor_Predicho,Diferencia_Absoluta,Diferencia_Relativa
lilian-brassier,Francia,"Francia, Togo",Defensa,0.0,7.0,Stade Rennais FC,,30/06/2029,10000000.0,31/01/2025,10000458.148300432,2.0,30.002326617914573,2679.374801798463,3.00027691670396,-0.33097478491632,-0.0005236399978296,-0.5184808826529551,-0.4137937095646686,-0.5527510133222163,2.151152440269612,2.273875306699427,76.00042043484808,80.00045130942068,0.1952698411716021,-0.9281798547894712,76.00474429780348,0.3314583826788231,-1.0538314154727548,68.00112855810998,-0.0578173814302081,-0.3966574164665004,63.0000926237178,74.00185090928551,65.99966991240353,0.215050798865382,-0.4140448468686315,72.00003144368914,-0.5815540736371082,-0.7662267180980222,83.00272251127515,0.2437553718317334,78.0023612645478,-1.1866378890085734,0.6629435317278569,73.00460642932032,-0.4224902431536684,56.99835084252991,44.99835696053277,0.2608397855944135,0.840323605670607,79.00597273586723,0.9987369763385788,7.997420479256943,5.996946974290983,6.997239357916298,8.997705606646303,5.996824045117126,10970548.0,970548.0,9.70548
adrien-truffert,Bélgica,Francia,Defensa,7.0,5.0,Stade Rennais FC,adidas,30/06/2026,15000000.0,01/07/2020,,2.0,30.002326617914573,2145.199403534577,0.9996199943673084,-0.3227143013378237,2.0001332823388216,0.4961025917622247,0.0045166656107065,0.2441555120376148,1.0459443553048242,-0.3596700104893391,77.00068720822884,81.00071808280144,1.031409844845005,-0.0152639538634826,59.00020915033052,0.264132581842208,0.4732796269932489,76.00326274515608,0.4852078881499576,0.2831235387729672,72.00249358414467,76.00238445604704,75.0020708728304,0.5474117021563403,0.2589799367279735,70.99976467030838,0.6658337205300298,0.2558142282541334,70.999521230706,1.056996158636893,64.99889321059788,-0.1263275277899435,0.2169973917252625,74.00487320270108,-0.5698614212349895,66.00075180295677,54.00075792095964,0.0041077131589672,0.7078380324350791,78.00570596248646,0.9987369763385788,5.996886932495418,5.996946974290983,5.996972584535536,5.996905286504015,7.997357591878654,15088447.0,88447.0,0.5896466666666667
djaoui-cisse,Francia,"Francia, Malí",Centrocampista,9.0,10.0,Stade Rennais FC,,30/06/2029,5000000.0,01/07/2024,96700.3193550799,1.0,1.9931297052014576,1.495511250855543,-0.0007084668010173,-0.6870230799051025,-0.0005236399978296,-0.8221134815946767,-0.9250619458901272,-0.9205540250267538,-1.164471814624751,-0.3596700104893391,68.99855302118274,81.00071808280144,-0.5916854564033655,0.3955482015532121,53.99887528342671,0.1968067810055929,-0.2163834244430108,72.00219565163303,-0.1565492486266018,-0.135203202912859,70.00196003738314,74.00185090928551,66.9999366857843,-0.2502544657419595,-0.6832547603072735,68.99923112354686,-0.6472060628037998,-0.5303711150936786,63.99765381704065,0.3063123554321303,62.99835966383637,0.5651792295265542,-0.5634083532792777,68.0032725624165,-0.4224902431536684,60.99941793605296,47.99915728067506,-0.4237790742334431,-0.0870754069780882,70.00357177544036,0.1862225944691595,4.996620159114656,13.999081161337086,5.996972584535536,8.997705606646303,8.997624365259416,4938386.0,-61614.0,-1.23228
azor-matusiwa,Países Bajos,"Países Bajos, Angola",Centrocampista,11.0,9.0,Stade Rennais FC,,30/06/2028,10000000.0,22/01/2024,10000458.148300432,1.0,28.001669695577924,2186.2128704424786,0.9996199943673084,-0.3535161066684804,0.9998048211704962,-0.2841825348306948,-0.0884411955393768,0.6119585237421522,0.6775416603165617,-0.3596700104893391,76.00042043484808,77.99991776265915,-0.2473925137143171,-0.6543050845116745,59.00020915033052,0.5334357851886684,-0.3149067175053336,66.00059501134845,-0.107183315028405,-0.344366573755772,73.00276035752543,71.00105058914323,61.998602818880485,-0.4496710077165344,0.5281898501666156,74.00056499045067,0.8627896880301041,-0.0586599090849913,71.99978800408675,0.994439175036496,76.00182771778628,0.011973823673356,1.1646329392307757,77.00567352284337,-0.3242427910994543,70.00181889647982,49.99969082743659,0.3464171430728956,0.840323605670607,76.00517241572493,0.7849174021624157,5.996886932495418,8.997747294433271,12.998839998200877,10.998239153407829,11.998424685401703,9231223.0,-768777.0,-7.6877699999999995
ludovic-blas,Francia,"Francia, Martinica",Delantero,2.0,10.0,Stade Rennais FC,,30/06/2027,18000000.0,05/07/2023,20004253.93511392,2.0,29.001998156746247,1561.0075822122749,4.000605377872285,0.7112956008904223,0.9998048211704962,0.1106973606906243,1.1664899299867488,0.305456013988371,-0.0592637296599633,-0.3596700104893391,77.00068720822884,76.9996509892784,0.7363016082543923,0.9889435371551046,57.99994237694976,0.6680873868618987,1.3599892645541545,80.00432983867913,1.0282331577301231,1.1197770221446195,74.00302713090619,80.00345154957009,77.00260441959193,0.0821064375489987,0.8647022419649181,73.00029821706991,0.7314857096967212,1.2778551746062892,71.99978800408675,0.2437553718317334,62.99835966383637,1.210585536355285,-0.4519218182786291,66.00273901565497,-0.1768716130181332,77.00368631014517,80.00769402885948,1.1166133603792343,-0.352046553449144,64.00197113515578,0.2289865093043921,11.998487572779997,8.997747294433271,13.99910677158164,13.999039473550116,14.999225005543996,16556303.0,-1443697.0,-8.02053888888889
hans-hateboer,Países Bajos,Países Bajos,Defensa,6.0,4.0,Stade Rennais FC,Nike,30/06/2026,3000000.0,06/08/2024,3497990.8868716657,1.0,23.000027389736296,1093.8541908466668,-0.0007084668010173,-0.5907036152376698,0.9998048211704962,0.3486259713336394,-0.4137937095646686,0.4280570178898835,0.6775416603165617,-0.3596700104893391,76.00042043484808,75.99938421589763,0.9330404326481342,0.486839791645811,77.00501107118424,0.4661099843520533,0.4732796269932489,75.00299597177532,0.0409144857661856,-0.6058207873094135,72.00249358414467,77.0026512294278,77.00260441959193,0.5474117021563403,0.057072501648992,75.00083176383143,0.6001817313633383,0.4916698312584771,87.0037896047982,0.0560844210305427,75.00156094440553,0.1963756256244221,0.7186867992281812,72.00433965593955,-0.1768716130181332,71.00208566986059,46.9988905072943,0.5175718580298598,0.840323605670607,77.0054391891057,0.9132091466681136,10.998220799399231,5.996946974290983,7.997506131297062,13.999039473550116,14.999225005543996,2886693.0,-113307.0,-3.7768999999999995
Christopher Maurice Wooh,Francia,"Camerún, Francia",Defensa,0.0,,Stade Rennais FC,,30/06/2026,7000000.0,01/09/2022,,1.0,17.998385083894668,1384.94977304665,0.9996199943673084,-0.210353586137751,-0.0005236399978296,-0.60781651540996,-0.4602726401397103,-0.6140515152729725,-0.0592637296599633,2.273875306699427,73.99988688808655,80.00045130942068,-0.1982078076158816,-0.4717219043264768,76.00474429780348,-0.1398222231774826,-0.8567848293481092,61.99952791782541,-0.107183315028405,-0.9718566862845114,57.998758756813984,68.00025026900094,55.99700217859591,0.6138838828145319,-0.8851621953862551,68.99923112354686,-1.5663339111374803,-0.4517525807588974,82.00245573789438,-0.1315865297706479,81.00316158469009,-0.6795329336431416,0.7186867992281812,73.00460642932032,-0.5698614212349895,51.997016975626096,41.997556640390485,-0.1670470017979968,0.6636761746899031,74.00463886896341,0.8276813169976484,6.99715370587618,4.99668020091022,6.997239357916298,5.996905286504015,9.997891138640178,8124228.0,1124228.0,16.0604
gauthier-gallon,Francia,Francia,Portero,,,Stade Rennais FC,,30/06/2027,1000000.0,05/07/2023,1997421.518849642,1.0,,,,,,,,,,,72.99962011470579,72.99858389575535,-2.214780757651736,-1.749804165622861,12.98793757481542,-2.6308768541322416,-1.5957095273155304,16.987523115691076,-2.032454725358084,-1.494765113391794,26.99048878201034,17.986911599962802,39.9927338045037,-1.845586801538559,-1.8946993707811624,65.99843080340457,-0.7128580519704912,-0.9234637867675848,61.997120270279126,-2.383637939384936,63.998626437217126,-1.785943745349538,-1.8455035057867368,21.991000986901405,2.7214282225811823,51.997016975626096,18.991420852632928,-1.0228205765828178,-1.8977115745303028,15.98916601287916,-1.738153573116307,74.01502752238729,71.01428724404056,72.01457962766588,73.01477910301513,75.01523140838975,1081057.0,81057.0,8.1057
ayanda-sishuba,Bélgica,"Bélgica, Francia",Centrocampista,10.0,,Stade Rennais FC,,30/06/2029,2000000.0,03/02/2025,1997421.518849642,1.0,6.994772011043086,43.50930661992516,-0.0007084668010173,-0.3765146988398632,-0.0005236399978296,-0.8101038773151817,-0.3673147789896269,-0.8592535230759976,-1.164471814624751,-0.3596700104893391,63.99721915427893,77.99991776265915,0.0969004289747311,0.3499024065069127,40.99540722947678,-0.4764512273605582,0.128448101275119,71.00192887825227,0.4852078881499576,0.5445777523266085,53.99769166329094,68.00025026900094,76.00233764621116,-0.0508379237673845,1.268517112122881,60.99709693650075,1.256701623030253,-0.0586599090849913,43.99231834942539,-1.4452831853789825,33.990623235794246,0.2424760761121886,-0.8421246907808992,31.993668720709024,-0.3733665171265614,57.99861761591068,60.00235856124422,-0.5093564317119252,-1.1027981351171354,31.99343438697137,-1.096694850587818,8.997687252637707,8.997747294433271,14.999373544962404,9.997972380027065,4.996557271736364,2047097.0,47097.0,2.35485
alidu-seidu,Ghana,Ghana,Defensa,0.0,6.0,Stade Rennais FC,,30/06/2029,9000000.0,29/01/2024,6999319.412256387,1.0,25.000684312072945,1728.062435227385,-0.0007084668010173,-0.6589816675108008,0.9998048211704962,-0.4223191540985164,-0.5532305012897937,-0.4301500094207038,1.7827497452813494,2.273875306699427,73.99988688808655,80.00045130942068,0.4411933716637795,-0.7912424696505728,71.00341043089968,-0.0051706215042524,-0.3149067175053336,69.00139533149074,-0.0578173814302081,-0.8672750008630549,60.999559076956274,72.00131736252399,66.9999366857843,-0.2502544657419595,-0.2121374117896499,75.00083176383143,0.2719217855298809,-0.294515512089335,78.00138864437133,-1.0073843001762044,71.00049385088246,-0.5873320326676086,0.6629435317278569,76.0054067494626,-0.1768716130181332,51.997016975626096,36.99622277348666,0.4319945005513777,0.9286473211609588,75.00490564234417,0.8704452318328809,10.998220799399231,8.997747294433271,10.998306451439351,13.999039473550116,6.997090818497892,9627691.0,627691.0,6.974344444444444
marco-bizot,Países Bajos,Países Bajos,Portero,,,Stade Brestois 29,,30/06/2026,3500000.0,04/08/2021,,1.0,32.00298354025122,2877.439837109792,-0.0007084668010173,-0.6870230799051025,-0.0005236399978296,-0.759113147038228,-0.9250619458901272,-0.736652519174485,-0.0592637296599633,2.273875306699427,79.00122075499037,79.00018453603992,-1.821303108864252,-1.704158370576561,15.988737894957694,-2.6982026549688567,-1.7434944669090149,11.986189248787262,-1.7856250573670989,-1.703928484234707,32.99208942229492,31.99064642729348,44.99406767140752,-1.3802815369312174,-1.0870696304652363,76.0010985372122,-1.631985900304172,-0.9234637867675848,64.99792059042142,-2.258523972184142,62.99835966383637,-1.8320441958373044,-1.3438140982838178,16.989667119997584,3.0161705787438247,55.99808406914914,35.995956000105906,-1.7930167938891566,-1.9418734322754787,11.988098919356103,-1.6953896582810744,79.01636138929109,76.01562111094438,72.01457962766588,79.01637974329971,80.01656527529357,3009134.0,-490866.0,-14.024742857142858
brendan-chardonnet,Francia,Francia,Defensa,0.0,,Stade Brestois 29,,30/06/2027,6000000.0,01/07/2013,,1.0,33.00331200141955,2970.470383998446,0.9996199943673084,-0.2538674517968599,0.9998048211704962,0.1094583990571713,-0.0419622649643351,-0.3075490055191913,0.3091389653282991,-0.3596700104893391,78.00095398160961,77.99991776265915,-0.5916854564033655,-0.2891387241412791,79.00554461794577,0.1294809801689778,-0.3149067175053336,51.99686018401778,-0.897038252599555,-0.6581116300201417,63.0000926237178,69.0005170423817,46.99460121816904,-1.247337175614834,-0.750557238666934,80.00216563073525,0.3375737746965723,-1.3165564584414906,79.00165541775209,0.0560844210305427,82.00342835807086,-0.8639347355942077,0.495713729226884,81.00674061636641,-0.3242427910994543,37.99328214829541,71.00529306843261,0.5175718580298598,1.0611328943964868,80.00623950924799,1.0415008911738113,9.99795402601847,13.999081161337086,9.998039678058586,10.998239153407829,12.998691458782467,6099879.0,99879.0,1.6646500000000002
Massadio Haïdara,Francia,"Malí, Francia",Defensa,7.0,5.0,Stade Brestois 29,Puma,30/06/2025,1800000.0,30/08/2024,,2.0,17.998385083894668,718.7310179085448,-0.0007084668010173,-0.6408585223929751,0.9998048211704962,-0.7052587882078902,-0.7856251541650021,-0.8592535230759976,-0.7960691196364885,-0.3596700104893391,73.99988688808655,73.9988506691361,0.6379321960575214,0.1216734312754156,71.00341043089968,0.1294809801689778,-0.117860131380688,70.0016621048715,-0.2059151822247987,0.5445777523266085,58.99902553019475,71.00105058914323,74.00180409944964,0.5474117021563403,0.191677458368313,72.00003144368914,0.4688777530299553,1.0419995716019457,84.00298928465591,0.6816542570345117,77.00209449116704,0.104174724648889,0.7744300667285055,72.00433965593955,-0.4716139691807754,55.99808406914914,55.0010246943404,0.4319945005513777,0.796161747925431,71.00383854882112,0.7421534873271831,9.99795402601847,12.998814387956322,13.99910677158164,7.997438833265541,15.999491778924757,1440388.0,-359612.0,-19.978444444444442
mahdi-camara,Francia,"Francia, Gambia",Centrocampista,9.0,11.0,Stade Brestois 29,,30/06/2027,10000000.0,01/07/2023,2997801.097530992,1.0,32.00298354025122,2071.175097408121,7.001590761377262,0.7864607611460276,3.000461743507147,0.8402977583901045,1.0270531382616237,0.9797615354466896,1.4143470502930868,-0.3596700104893391,78.00095398160961,80.00045130942068,0.293639253368473,0.7607145619236075,69.00287688413815,0.870064789371744,0.2762330408686033,77.00352951853685,0.5345738217481544,-0.0306215174914024,79.00436099781001,78.00291800280857,69.00047023254582,0.6803560634727235,0.5954923285262761,79.00189885735449,0.4032257638632638,0.3344327625889146,76.0008550976098,0.8693252078357022,74.00129417102475,0.7034805809898538,0.7186867992281812,80.00647384298566,-0.4224902431536684,78.00395308352593,55.0010246943404,0.7743039304653061,0.9286473211609588,79.00597273586723,0.955973061503346,5.996886932495418,10.9982808411948,6.997239357916298,8.997705606646303,6.997090818497892,12021232.0,2021232.0,20.212320000000002
romain-del-castillo,Francia,"Francia, España",Delantero,2.0,3.0,Stade Brestois 29,,30/06/2027,8000000.0,31/08/2021,,2.0,33.00331200141955,2557.334729535927,8.001919222545586,0.890259241530312,8.002104049348775,4.084303525732689,0.8876163465364987,4.535190648590551,0.3091389653282991,-0.3596700104893391,77.00068720822884,76.9996509892784,0.9822251387465696,0.8063603569699069,63.00127624385357,0.6680873868618987,1.0151577388360244,80.00432983867913,1.2750628257211076,1.1720678648553478,74.00302713090619,78.00291800280857,79.00313796635345,1.2121335087382568,1.6050295039211837,72.00003144368914,1.0597456555301783,0.9633810372671644,74.00032155084828,-0.069029546170251,61.9980928904556,1.072284184891986,0.3284839267259111,34.994469040851314,-0.2259953390452402,76.0034195367644,74.0060933885749,0.8598812879437882,-1.0144744196267836,47.99770276106358,-0.3697082983888641,6.99715370587618,9.998014067814031,8.997772904677825,12.998772700169354,11.998424685401703,8494748.0,494748.0,6.18435
ludovic-ajorque,Reunión,"Francia, Reunión",Delantero,1.0,,Stade Brestois 29,,30/06/2025,4000000.0,25/07/2024,,2.0,26.00101277324127,1346.9372915222534,1.999948455535634,0.9851282753240292,-0.0005236399978296,-0.4108105029239836,0.4693059713611234,-0.0010464957654101,0.3091389653282991,-0.3596700104893391,77.00068720822884,76.9996509892784,-0.345761925911188,1.2171725123866015,79.00554461794577,0.0621551793323626,1.5077742041476383,69.00139533149074,0.0409144857661856,0.1785418533515106,47.99609102300636,76.00238445604704,58.9978024987382,0.3479951601817653,-1.288977065544218,78.00163208397372,-2.222853802804395,0.9633810372671644,80.00192219113286,-0.0064725625698541,94.00662963864002,0.6573801305020872,1.053146404230127,38.99553613437437,-0.1768716130181332,74.00288599000288,69.00475952167109,1.2021907178577165,-0.5286939844298479,44.99690244092129,-0.79734744674119,7.997420479256943,12.998814387956322,13.99910677158164,13.999039473550116,6.997090818497892,4237505.0,237505.0,5.937625
